id,source,target,value
e0,n938,n0,
e1,n938,n1,
e2,n938,n2,human
e3,n938,n3,
e4,n938,n4,
e5,n938,n5,neutral
e6,n938,n6,first
e7,n938,n7,big
e8,n938,n8,
e9,n938,n9,
e10,n938,n10,
e11,n938,n11,
e12,n938,n12,
e13,n938,n13,basic
e14,n938,n14,
e15,n938,n15,whole
e16,n938,n16,efficient
e17,n938,n17,gigantic
e18,n938,n18,
e19,n938,n19,theoretical
e20,n938,n20,
e21,n938,n21,deeper
e22,n938,n22,quick
e23,n938,n23,wavelike
e24,n938,n24,smaller
e25,n938,n25,microscopic
e26,n938,n26,modern
e27,n938,n27,magnetic
e28,n938,n28,fundamental
e29,n938,n29,physical
e30,n938,n30,invisible
e31,n938,n31,
e32,n938,n32,invisible
e33,n938,n33,powerful
e34,n938,n34,outer
e35,n938,n35,basic
e36,n938,n36,wrong
e37,n938,n37,magical
e38,n938,n38,
e39,n938,n39,big
e40,n938,n40,powerful
e41,n938,n41,
e42,n938,n42,
e43,n938,n43,famous
e44,n938,n44,key
e45,n938,n45,
e46,n938,n46,
e47,n938,n47,
e48,n938,n48,vibrating
e49,n938,n49,invisible
e50,n938,n50,
e51,n938,n51,strong
e52,n938,n52,little
e53,n938,n53,little
e54,n938,n54,ridiculous
e55,n938,n55,fundamental
e56,n938,n56,
e57,n938,n57,more
e58,n938,n58,
e59,n938,n59,
e60,n938,n60,popular
e61,n938,n61,
e62,n938,n62,
e63,n938,n63,radioactive
e64,n938,n64,
e65,n938,n65,ish
e66,n938,n66,
e67,n938,n67,little
e68,n938,n68,
e69,n938,n69,anti
e70,n938,n70,little
e71,n938,n71,
e72,n938,n72,long
e73,n938,n73,little
e74,n938,n74,
e75,n938,n75,20th
e76,n938,n76,
e77,n938,n77,
e78,n938,n78,quantum
e79,n938,n79,
e80,n938,n80,little
e81,n938,n81,little
e82,n938,n82,
e83,n938,n83,
e84,n938,n84,whole
e85,n938,n85,
e86,n938,n86,little
e87,n938,n87,ethereal
e88,n938,n88,
e89,n938,n89,
e90,n938,n90,little
e91,n938,n91,enough
e92,n938,n92,long
e93,n938,n93,other
e94,n938,n94,few
e95,n938,n95,other
e96,n938,n96,
e97,n938,n97,down
e98,n938,n98,little
e99,n938,n99,
e100,n938,n100,certain
e101,n938,n101,standard
e102,n938,n102,
e103,n938,n103,
e104,n938,n104,
e105,n938,n105,
