id,source,target,value
e0,n789,n0,good
e1,n789,n1,
e2,n789,n2,
e3,n789,n3,
e4,n789,n4,
e5,n789,n5,
e6,n789,n6,formative
e7,n789,n7,
e8,n789,n8,
e9,n789,n9,
e10,n789,n10,
e11,n789,n11,stoic
e12,n789,n12,
e13,n789,n13,
e14,n789,n14,
e15,n789,n15,weird
e16,n789,n16,
e17,n789,n17,
e18,n789,n18,
e19,n789,n19,certain
e20,n789,n20,better
e21,n789,n21,
e22,n789,n22,
e23,n789,n23,finite
e24,n789,n24,
e25,n789,n25,great
e26,n789,n26,immortal
e27,n789,n27,
e28,n789,n28,
e29,n789,n29,
e30,n789,n30,
e31,n789,n31,
e32,n789,n32,
e33,n789,n33,
e34,n789,n34,much
e35,n789,n35,horrific
e36,n789,n36,many
e37,n789,n37,
e38,n789,n38,
e39,n789,n39,
e40,n789,n40,much
e41,n789,n41,
e42,n789,n42,
e43,n789,n43,
e44,n789,n44,
e45,n789,n45,bad
e46,n789,n46,
e47,n789,n47,
e48,n789,n48,
e49,n789,n49,
e50,n789,n50,
e51,n789,n51,fragile
e52,n789,n52,
e53,n789,n53,many
e54,n789,n54,
e55,n789,n55,
e56,n789,n56,social
e57,n789,n57,
e58,n789,n58,
e59,n789,n59,
e60,n789,n60,
e61,n789,n61,racial
e62,n789,n62,
e63,n789,n63,racial
e64,n789,n64,
e65,n789,n65,
e66,n789,n66,young
e67,n789,n67,Late
e68,n789,n68,civil
e69,n789,n69,
e70,n789,n70,
e71,n789,n71,
e72,n789,n72,
e73,n789,n73,
e74,n789,n74,heightened
e75,n789,n75,second
e76,n789,n76,
e77,n789,n77,
e78,n789,n78,
e79,n789,n79,very
e80,n789,n80,
e81,n789,n81,new
e82,n789,n82,better
e83,n789,n83,positive
e84,n789,n84,good
e85,n789,n85,
e86,n789,n86,
e87,n789,n87,
e88,n789,n88,clear
e89,n789,n89,Trump
e90,n789,n90,
e91,n789,n91,more
e92,n789,n92,obsessive
e93,n789,n93,
e94,n789,n94,whole
e95,n789,n95,
e96,n789,n96,
e97,n789,n97,
e98,n789,n98,
e99,n789,n99,
e100,n789,n100,
e101,n789,n101,
e102,n789,n102,black
e103,n789,n103,multiple
e104,n789,n104,
e105,n789,n105,
e106,n789,n106,
e107,n789,n107,crazy
e108,n789,n108,
e109,n789,n109,black
e110,n789,n110,
e111,n789,n111,white
e112,n789,n112,
e113,n789,n113,
e114,n789,n114,
e115,n789,n115,
e116,n789,n116,
e117,n789,n117,
e118,n789,n118,mad
e119,n789,n119,Trump
e120,n789,n120,
e121,n789,n121,
e122,n789,n122,
e123,n789,n123,pro
e124,n789,n124,Trump
e125,n789,n125,
e126,n789,n126,next
e127,n789,n127,
e128,n789,n128,
e129,n789,n129,federal
e130,n789,n130,
e131,n789,n131,
e132,n789,n132,
e133,n789,n133,
e134,n789,n134,hot
e135,n789,n135,
e136,n789,n136,very
e137,n789,n137,
e138,n789,n138,just
e139,n789,n139,
e140,n789,n140,
e141,n789,n141,little
e142,n789,n142,
e143,n789,n143,weaker
e144,n789,n144,human
e145,n789,n145,early
e146,n789,n146,
e147,n789,n147,primary
e148,n789,n148,
e149,n789,n149,big
e150,n789,n150,
e151,n789,n151,best
e152,n789,n152,better
e153,n789,n153,
e154,n789,n154,weird
e155,n789,n155,
e156,n789,n156,
e157,n789,n157,real
