id,source,target,value
e0,n784,n0,
e1,n784,n1,
e2,n784,n2,Modern
e3,n784,n3,many
e4,n784,n4,
e5,n784,n5,universal
e6,n784,n6,internal
e7,n784,n7,
e8,n784,n8,
e9,n784,n9,philosophical
e10,n784,n10,real
e11,n784,n11,bloody
e12,n784,n12,
e13,n784,n13,same
e14,n784,n14,
e15,n784,n15,
e16,n784,n16,
e17,n784,n17,
e18,n784,n18,few
e19,n784,n19,
e20,n784,n20,conscious
e21,n784,n21,other
e22,n784,n22,
e23,n784,n23,Jewish
e24,n784,n24,
e25,n784,n25,
e26,n784,n26,impossible
e27,n784,n27,
e28,n784,n28,martial
e29,n784,n29,certain
e30,n784,n30,total
e31,n784,n31,
e32,n784,n32,
e33,n784,n33,
e34,n784,n34,
e35,n784,n35,human
e36,n784,n36,individual
e37,n784,n37,
e38,n784,n38,
e39,n784,n39,sublimated
e40,n784,n40,
e41,n784,n41,Roman
e42,n784,n42,
e43,n784,n43,
e44,n784,n44,human
e45,n784,n45,
e46,n784,n46,
e47,n784,n47,great
e48,n784,n48,human
e49,n784,n49,creative
e50,n784,n50,
e51,n784,n51,
e52,n784,n52,
e53,n784,n53,
e54,n784,n54,
e55,n784,n55,single
e56,n784,n56,
e57,n784,n57,particular
e58,n784,n58,whole
e59,n784,n59,
e60,n784,n60,
e61,n784,n61,
e62,n784,n62,little
e63,n784,n63,
e64,n784,n64,
e65,n784,n65,
e66,n784,n66,
e67,n784,n67,
e68,n784,n68,
e69,n784,n69,
e70,n784,n70,
e71,n784,n71,Human
e72,n784,n72,
e73,n784,n73,
e74,n784,n74,
e75,n784,n75,
e76,n784,n76,
e77,n784,n77,
e78,n784,n78,
e79,n784,n79,
e80,n784,n80,
e81,n784,n81,
e82,n784,n82,great
e83,n784,n83,easy
e84,n784,n84,
e85,n784,n85,transformative
e86,n784,n86,
e87,n784,n87,
e88,n784,n88,
e89,n784,n89,
e90,n784,n90,great
e91,n784,n91,
e92,n784,n92,
e93,n784,n93,
e94,n784,n94,
e95,n784,n95,
e96,n784,n96,cultural
e97,n784,n97,single
e98,n784,n98,
e99,n784,n99,large
e100,n784,n100,
e101,n784,n101,
e102,n784,n102,
e103,n784,n103,transformative
e104,n784,n104,
e105,n784,n105,
e106,n784,n106,
e107,n784,n107,
e108,n784,n108,
e109,n784,n109,
e110,n784,n110,romantic
e111,n784,n111,
e112,n784,n112,
e113,n784,n113,
e114,n784,n114,
e115,n784,n115,more
e116,n784,n116,entire
e117,n784,n117,
e118,n784,n118,
e119,n784,n119,
e120,n784,n120,
e121,n784,n121,other
e122,n784,n122,new
e123,n784,n123,
e124,n784,n124,
e125,n784,n125,
e126,n784,n126,less
e127,n784,n127,
e128,n784,n128,own
e129,n784,n129,own
e130,n784,n130,
e131,n784,n131,
e132,n784,n132,
e133,n784,n133,
e134,n784,n134,
e135,n784,n135,physical
e136,n784,n136,terrible
e137,n784,n137,outer
e138,n784,n138,
e139,n784,n139,Israeli
e140,n784,n140,
e141,n784,n141,
e142,n784,n142,
e143,n784,n143,
e144,n784,n144,
e145,n784,n145,
e146,n784,n146,
e147,n784,n147,
e148,n784,n148,
e149,n784,n149,different
e150,n784,n150,holiest
e151,n784,n151,Kabbalistic
e152,n784,n152,own
e153,n784,n153,
e154,n784,n154,other
e155,n784,n155,
e156,n784,n156,different
e157,n784,n157,
e158,n784,n158,
e159,n784,n159,first
e160,n784,n160,
e161,n784,n161,
e162,n784,n162,bad
e163,n784,n163,
e164,n784,n164,
e165,n784,n165,
e166,n784,n166,
e167,n784,n167,selfish
e168,n784,n168,certain
e169,n784,n169,
e170,n784,n170,
e171,n784,n171,
e172,n784,n172,own
e173,n784,n173,
e174,n784,n174,
e175,n784,n175,
e176,n784,n176,previous
e177,n784,n177,greater
e178,n784,n178,
e179,n784,n179,
e180,n784,n180,
e181,n784,n181,
e182,n784,n182,
e183,n784,n183,same
e184,n784,n184,
e185,n784,n185,earliest
e186,n784,n186,
