id,source,target,value
e0,n956,n0,metaphysical
e1,n956,n1,
e2,n956,n2,absurd
e3,n956,n3,fascinating
e4,n956,n4,perfect
e5,n956,n5,
e6,n956,n6,other
e7,n956,n7,
e8,n956,n8,
e9,n956,n9,specific
e10,n956,n10,real
e11,n956,n11,
e12,n956,n12,
e13,n956,n13,centric
e14,n956,n14,
e15,n956,n15,
e16,n956,n16,key
e17,n956,n17,respected
e18,n956,n18,whole
e19,n956,n19,
e20,n956,n20,different
e21,n956,n21,larger
e22,n956,n22,quantum
e23,n956,n23,entire
e24,n956,n24,
e25,n956,n25,personal
e26,n956,n26,
e27,n956,n27,
e28,n956,n28,
e29,n956,n29,
e30,n956,n30,physical
e31,n956,n31,
e32,n956,n32,other
e33,n956,n33,appropriate
e34,n956,n34,enough
e35,n956,n35,
e36,n956,n36,different
e37,n956,n37,hard
e38,n956,n38,direct
e39,n956,n39,quantum
e40,n956,n40,
e41,n956,n41,
e42,n956,n42,
e43,n956,n43,artificial
e44,n956,n44,
e45,n956,n45,
e46,n956,n46,
e47,n956,n47,imperfect
e48,n956,n48,digital
e49,n956,n49,
e50,n956,n50,
e51,n956,n51,much
e52,n956,n52,
e53,n956,n53,overflow
e54,n956,n54,most
e55,n956,n55,
e56,n956,n56,
e57,n956,n57,
e58,n956,n58,
e59,n956,n59,
e60,n956,n60,
e61,n956,n61,limited
e62,n956,n62,
e63,n956,n63,broad
e64,n956,n64,
e65,n956,n65,famous
e66,n956,n66,
e67,n956,n67,quantum
e68,n956,n68,actual
e69,n956,n69,general
e70,n956,n70,quantum
e71,n956,n71,amazing
e72,n956,n72,
e73,n956,n73,black
e74,n956,n74,few
e75,n956,n75,
e76,n956,n76,
e77,n956,n77,same
e78,n956,n78,
e79,n956,n79,very
e80,n956,n80,known
e81,n956,n81,more
e82,n956,n82,
e83,n956,n83,strong
e84,n956,n84,few
e85,n956,n85,
e86,n956,n86,
e87,n956,n87,fundamental
e88,n956,n88,entire
e89,n956,n89,most
e90,n956,n90,
e91,n956,n91,fundamental
e92,n956,n92,
e93,n956,n93,
e94,n956,n94,
