id,source,target,value
e0,n1148,n0,
e1,n1148,n1,
e2,n1148,n2,
e3,n1148,n3,
e4,n1148,n4,alien
e5,n1148,n5,rival
e6,n1148,n6,crazy
e7,n1148,n7,
e8,n1148,n8,
e9,n1148,n9,whole
e10,n1148,n10,robust
e11,n1148,n11,
e12,n1148,n12,same
e13,n1148,n13,abstract
e14,n1148,n14,
e15,n1148,n15,elaborate
e16,n1148,n16,
e17,n1148,n17,actual
e18,n1148,n18,
e19,n1148,n19,elaborate
e20,n1148,n20,best
e21,n1148,n21,microscopic
e22,n1148,n22,alien
e23,n1148,n23,
e24,n1148,n24,neural
e25,n1148,n25,
e26,n1148,n26,definitive
e27,n1148,n27,computational
e28,n1148,n28,
e29,n1148,n29,
e30,n1148,n30,common
e31,n1148,n31,
e32,n1148,n32,philosophical
e33,n1148,n33,different
e34,n1148,n34,alien
e35,n1148,n35,
e36,n1148,n36,intelligent
e37,n1148,n37,physical
e38,n1148,n38,
e39,n1148,n39,
e40,n1148,n40,
e41,n1148,n41,infinite
e42,n1148,n42,
e43,n1148,n43,other
e44,n1148,n44,physical
e45,n1148,n45,
e46,n1148,n46,
e47,n1148,n47,right
e48,n1148,n48,elaborate
e49,n1148,n49,
e50,n1148,n50,interesting
e51,n1148,n51,
e52,n1148,n52,mathematical
e53,n1148,n53,traditional
e54,n1148,n54,bright
e55,n1148,n55,
e56,n1148,n56,
e57,n1148,n57,
e58,n1148,n58,open
e59,n1148,n59,computational
e60,n1148,n60,
e61,n1148,n61,fluid
e62,n1148,n62,
e63,n1148,n63,
e64,n1148,n64,different
e65,n1148,n65,sophisticated
e66,n1148,n66,
e67,n1148,n67,fundamental
e68,n1148,n68,single
e69,n1148,n69,civilizational
e70,n1148,n70,
e71,n1148,n71,own
e72,n1148,n72,human
e73,n1148,n73,
e74,n1148,n74,
e75,n1148,n75,whole
e76,n1148,n76,
e77,n1148,n77,few
e78,n1148,n78,
e79,n1148,n79,other
e80,n1148,n80,typical
e81,n1148,n81,
e82,n1148,n82,
e83,n1148,n83,other
e84,n1148,n84,
e85,n1148,n85,whole
e86,n1148,n86,initial
e87,n1148,n87,profound
e88,n1148,n88,other
e89,n1148,n89,quantum
e90,n1148,n90,cool
e91,n1148,n91,different
