id,source,target,value
e0,n795,n0,
e1,n795,n1,
e2,n795,n2,
e3,n795,n3,
e4,n795,n4,famed
e5,n795,n5,famed
e6,n795,n6,
e7,n795,n7,interesting
e8,n795,n8,catalytic
e9,n795,n9,fundamental
e10,n795,n10,neural
e11,n795,n11,
e12,n795,n12,current
e13,n795,n13,few
e14,n795,n14,other
e15,n795,n15,good
e16,n795,n16,earlier
e17,n795,n17,hard
e18,n795,n18,
e19,n795,n19,
e20,n795,n20,large
e21,n795,n21,
e22,n795,n22,back
e23,n795,n23,Different
e24,n795,n24,convincing
e25,n795,n25,deep
e26,n795,n26,powerful
e27,n795,n27,
e28,n795,n28,
e29,n795,n29,free
e30,n795,n30,
e31,n795,n31,neural
e32,n795,n32,prior
e33,n795,n33,complicated
e34,n795,n34,different
e35,n795,n35,human
e36,n795,n36,huge
e37,n795,n37,
e38,n795,n38,artificial
e39,n795,n39,
e40,n795,n40,new
e41,n795,n41,
e42,n795,n42,many
e43,n795,n43,computational
e44,n795,n44,whole
e45,n795,n45,
e46,n795,n46,more
e47,n795,n47,mathematical
e48,n795,n48,more
e49,n795,n49,incomplete
e50,n795,n50,key
e51,n795,n51,empirical
e52,n795,n52,
e53,n795,n53,over
e54,n795,n54,tiny
e55,n795,n55,
e56,n795,n56,
e57,n795,n57,main
e58,n795,n58,enough
e59,n795,n59,neural
e60,n795,n60,greatest
e61,n795,n61,enough
e62,n795,n62,
e63,n795,n63,good
e64,n795,n64,neural
e65,n795,n65,
e66,n795,n66,empirical
e67,n795,n67,
e68,n795,n68,shortest
e69,n795,n69,
e70,n795,n70,
e71,n795,n71,
e72,n795,n72,whiteboard
e73,n795,n73,single
e74,n795,n74,soft
e75,n795,n75,
e76,n795,n76,terrible
e77,n795,n77,huge
e78,n795,n78,
e79,n795,n79,deep
e80,n795,n80,individual
e81,n795,n81,good
e82,n795,n82,
e83,n795,n83,
e84,n795,n84,
e85,n795,n85,
e86,n795,n86,key
e87,n795,n87,
e88,n795,n88,different
e89,n795,n89,
e90,n795,n90,
e91,n795,n91,receptive
e92,n795,n92,good
e93,n795,n93,
e94,n795,n94,own
e95,n795,n95,interesting
e96,n795,n96,
e97,n795,n97,
e98,n795,n98,
e99,n795,n99,next
e100,n795,n100,
e101,n795,n101,certain
e102,n795,n102,bigger
e103,n795,n103,cool
e104,n795,n104,important
e105,n795,n105,
e106,n795,n106,
e107,n795,n107,
e108,n795,n108,
e109,n795,n109,many
e110,n795,n110,net
e111,n795,n111,
e112,n795,n112,early
e113,n795,n113,single
e114,n795,n114,useful
e115,n795,n115,smallish
e116,n795,n116,
e117,n795,n117,
e118,n795,n118,difficult
