id,source,target,value
e0,n1218,n0,
e1,n1218,n1,
e2,n1218,n2,
e3,n1218,n3,own
e4,n1218,n4,
e5,n1218,n5,molecular
e6,n1218,n6,human
e7,n1218,n7,biggest
e8,n1218,n8,modern
e9,n1218,n9,complex
e10,n1218,n10,modern
e11,n1218,n11,human
e12,n1218,n12,human
e13,n1218,n13,many
e14,n1218,n14,immense
e15,n1218,n15,
e16,n1218,n16,regulatory
e17,n1218,n17,immune
e18,n1218,n18,
e19,n1218,n19,basic
e20,n1218,n20,
e21,n1218,n21,
e22,n1218,n22,
e23,n1218,n23,
e24,n1218,n24,
e25,n1218,n25,progressive
e26,n1218,n26,human
e27,n1218,n27,genetic
e28,n1218,n28,new
e29,n1218,n29,other
e30,n1218,n30,human
e31,n1218,n31,
e32,n1218,n32,other
e33,n1218,n33,old
e34,n1218,n34,immune
e35,n1218,n35,genetic
e36,n1218,n36,human
e37,n1218,n37,
e38,n1218,n38,
e39,n1218,n39,eukaryotic
e40,n1218,n40,last
e41,n1218,n41,genetic
e42,n1218,n42,
e43,n1218,n43,genetic
e44,n1218,n44,little
e45,n1218,n45,medical
e46,n1218,n46,
e47,n1218,n47,
e48,n1218,n48,
e49,n1218,n49,
e50,n1218,n50,
e51,n1218,n51,high
e52,n1218,n52,
e53,n1218,n53,
e54,n1218,n54,fluid
e55,n1218,n55,
e56,n1218,n56,human
e57,n1218,n57,scientific
e58,n1218,n58,noisy
e59,n1218,n59,same
e60,n1218,n60,natural
e61,n1218,n61,
e62,n1218,n62,observational
e63,n1218,n63,other
e64,n1218,n64,
e65,n1218,n65,
e66,n1218,n66,
e67,n1218,n67,
e68,n1218,n68,
e69,n1218,n69,intricate
e70,n1218,n70,genetic
e71,n1218,n71,minor
e72,n1218,n72,natural
e73,n1218,n73,phenotypic
e74,n1218,n74,
e75,n1218,n75,
e76,n1218,n76,
e77,n1218,n77,
e78,n1218,n78,organismal
e79,n1218,n79,
e80,n1218,n80,molecular
e81,n1218,n81,fundamental
e82,n1218,n82,same
e83,n1218,n83,different
e84,n1218,n84,underlying
e85,n1218,n85,particular
e86,n1218,n86,
e87,n1218,n87,beautiful
e88,n1218,n88,interesting
e89,n1218,n89,ripple
e90,n1218,n90,human
e91,n1218,n91,
e92,n1218,n92,
e93,n1218,n93,little
e94,n1218,n94,natural
e95,n1218,n95,genetic
e96,n1218,n96,
e97,n1218,n97,
e98,n1218,n98,many
e99,n1218,n99,human
e100,n1218,n100,
e101,n1218,n101,
e102,n1218,n102,genetic
e103,n1218,n103,
e104,n1218,n104,polymorphic
e105,n1218,n105,polymorphic
e106,n1218,n106,nucleotide
e107,n1218,n107,
e108,n1218,n108,
e109,n1218,n109,
e110,n1218,n110,
e111,n1218,n111,
e112,n1218,n112,
e113,n1218,n113,
e114,n1218,n114,last
e115,n1218,n115,
e116,n1218,n116,
e117,n1218,n117,
e118,n1218,n118,
e119,n1218,n119,
e120,n1218,n120,
e121,n1218,n121,standard
e122,n1218,n122,stronger
e123,n1218,n123,tight
e124,n1218,n124,hopeful
e125,n1218,n125,different
e126,n1218,n126,small
e127,n1218,n127,many
e128,n1218,n128,
e129,n1218,n129,little
e130,n1218,n130,allelic
e131,n1218,n131,different
e132,n1218,n132,individual
e133,n1218,n133,
e134,n1218,n134,
e135,n1218,n135,enormous
e136,n1218,n136,
e137,n1218,n137,unrelated
e138,n1218,n138,particular
e139,n1218,n139,
e140,n1218,n140,
