id,source,target,value
e0,n689,n0,curious
e1,n689,n1,
e2,n689,n2,
e3,n689,n3,
e4,n689,n4,
e5,n689,n5,favorite
e6,n689,n6,
e7,n689,n7,artificial
e8,n689,n8,
e9,n689,n9,
e10,n689,n10,
e11,n689,n11,
e12,n689,n12,various
e13,n689,n13,
e14,n689,n14,
e15,n689,n15,
e16,n689,n16,
e17,n689,n17,
e18,n689,n18,human
e19,n689,n19,
e20,n689,n20,
e21,n689,n21,
e22,n689,n22,
e23,n689,n23,amazing
e24,n689,n24,philosophical
e25,n689,n25,very
e26,n689,n26,right
e27,n689,n27,
e28,n689,n28,
e29,n689,n29,great
e30,n689,n30,
e31,n689,n31,
e32,n689,n32,
e33,n689,n33,finite
e34,n689,n34,
e35,n689,n35,
e36,n689,n36,
e37,n689,n37,clear
e38,n689,n38,certain
e39,n689,n39,
e40,n689,n40,
e41,n689,n41,human
e42,n689,n42,flawed
e43,n689,n43,logical
e44,n689,n44,remote
e45,n689,n45,
e46,n689,n46,
e47,n689,n47,
e48,n689,n48,different
e49,n689,n49,
e50,n689,n50,
e51,n689,n51,proto
e52,n689,n52,
e53,n689,n53,sophisticated
e54,n689,n54,
e55,n689,n55,general
e56,n689,n56,different
e57,n689,n57,
e58,n689,n58,computational
e59,n689,n59,
e60,n689,n60,
e61,n689,n61,
e62,n689,n62,deterministic
e63,n689,n63,certain
e64,n689,n64,much
e65,n689,n65,beautiful
e66,n689,n66,
e67,n689,n67,good
e68,n689,n68,
e69,n689,n69,distant
e70,n689,n70,conscious
e71,n689,n71,mere
e72,n689,n72,
e73,n689,n73,
e74,n689,n74,
e75,n689,n75,
e76,n689,n76,
e77,n689,n77,right
e78,n689,n78,
e79,n689,n79,peculiar
e80,n689,n80,fantastic
e81,n689,n81,
e82,n689,n82,
e83,n689,n83,complicated
e84,n689,n84,
e85,n689,n85,
e86,n689,n86,
e87,n689,n87,
e88,n689,n88,certain
e89,n689,n89,
e90,n689,n90,enough
e91,n689,n91,
e92,n689,n92,
e93,n689,n93,
e94,n689,n94,
e95,n689,n95,reasonable
e96,n689,n96,
e97,n689,n97,Arab
e98,n689,n98,
e99,n689,n99,human
e100,n689,n100,
e101,n689,n101,interesting
e102,n689,n102,
e103,n689,n103,right
e104,n689,n104,right
e105,n689,n105,
e106,n689,n106,different
e107,n689,n107,
e108,n689,n108,
e109,n689,n109,human
e110,n689,n110,
e111,n689,n111,right
e112,n689,n112,
e113,n689,n113,
e114,n689,n114,
e115,n689,n115,
e116,n689,n116,worst
e117,n689,n117,
e118,n689,n118,
e119,n689,n119,
e120,n689,n120,
e121,n689,n121,many
e122,n689,n122,
e123,n689,n123,big
e124,n689,n124,
e125,n689,n125,
e126,n689,n126,
e127,n689,n127,more
e128,n689,n128,
e129,n689,n129,
e130,n689,n130,incredible
e131,n689,n131,
e132,n689,n132,
e133,n689,n133,little
e134,n689,n134,
e135,n689,n135,
e136,n689,n136,deep
e137,n689,n137,
e138,n689,n138,
e139,n689,n139,
e140,n689,n140,
e141,n689,n141,clear
e142,n689,n142,
e143,n689,n143,precise
e144,n689,n144,
e145,n689,n145,computational
e146,n689,n146,frontal
e147,n689,n147,
e148,n689,n148,first
e149,n689,n149,
e150,n689,n150,electrical
e151,n689,n151,half
e152,n689,n152,
e153,n689,n153,
e154,n689,n154,
e155,n689,n155,
e156,n689,n156,
e157,n689,n157,clear
e158,n689,n158,unlimited
e159,n689,n159,other
e160,n689,n160,powerful
e161,n689,n161,universal
e162,n689,n162,big
e163,n689,n163,such
e164,n689,n164,
e165,n689,n165,
e166,n689,n166,
e167,n689,n167,formal
e168,n689,n168,different
e169,n689,n169,absolute
e170,n689,n170,
e171,n689,n171,
e172,n689,n172,beautiful
e173,n689,n173,pure
e174,n689,n174,
e175,n689,n175,
e176,n689,n176,
e177,n689,n177,
e178,n689,n178,
e179,n689,n179,
e180,n689,n180,undergraduate
e181,n689,n181,
e182,n689,n182,
e183,n689,n183,various
e184,n689,n184,
e185,n689,n185,Euclidian
e186,n689,n186,
e187,n689,n187,public
e188,n689,n188,
e189,n689,n189,
e190,n689,n190,beautiful
e191,n689,n191,amazing
e192,n689,n192,conventional
e193,n689,n193,quantum
e194,n689,n194,great
e195,n689,n195,
e196,n689,n196,mathematical
e197,n689,n197,
e198,n689,n198,
e199,n689,n199,mathematical
e200,n689,n200,
e201,n689,n201,
e202,n689,n202,much
e203,n689,n203,
e204,n689,n204,
e205,n689,n205,
e206,n689,n206,
e207,n689,n207,undergraduate
e208,n689,n208,
e209,n689,n209,proof
e210,n689,n210,computational
e211,n689,n211,
e212,n689,n212,
e213,n689,n213,other
e214,n689,n214,
e215,n689,n215,
e216,n689,n216,mathematical
e217,n689,n217,
e218,n689,n218,
e219,n689,n219,
e220,n689,n220,
e221,n689,n221,
e222,n689,n222,
e223,n689,n223,
e224,n689,n224,
e225,n689,n225,
e226,n689,n226,own
e227,n689,n227,
e228,n689,n228,crazy
e229,n689,n229,
e230,n689,n230,
e231,n689,n231,
e232,n689,n232,
e233,n689,n233,
e234,n689,n234,
e235,n689,n235,sabertooth
e236,n689,n236,
e237,n689,n237,
e238,n689,n238,
e239,n689,n239,
e240,n689,n240,
e241,n689,n241,
e242,n689,n242,mammoth
e243,n689,n243,spiral
e244,n689,n244,
e245,n689,n245,tremendous
e246,n689,n246,
e247,n689,n247,interesting
e248,n689,n248,evolutionary
e249,n689,n249,
e250,n689,n250,
e251,n689,n251,
e252,n689,n252,
e253,n689,n253,
e254,n689,n254,
e255,n689,n255,nice
e256,n689,n256,
e257,n689,n257,different
e258,n689,n258,
e259,n689,n259,other
e260,n689,n260,same
e261,n689,n261,conscious
e262,n689,n262,early
e263,n689,n263,neural
e264,n689,n264,
e265,n689,n265,many
e266,n689,n266,little
e267,n689,n267,
e268,n689,n268,human
e269,n689,n269,
e270,n689,n270,
e271,n689,n271,wonderful
e272,n689,n272,
e273,n689,n273,long
e274,n689,n274,
e275,n689,n275,
e276,n689,n276,
e277,n689,n277,
e278,n689,n278,big
e279,n689,n279,
e280,n689,n280,
e281,n689,n281,
e282,n689,n282,clear
e283,n689,n283,natural
e284,n689,n284,conscious
e285,n689,n285,
e286,n689,n286,different
e287,n689,n287,
e288,n689,n288,
e289,n689,n289,precise
e290,n689,n290,
e291,n689,n291,
e292,n689,n292,
e293,n689,n293,
e294,n689,n294,common
e295,n689,n295,
e296,n689,n296,
e297,n689,n297,ordinary
e298,n689,n298,
e299,n689,n299,intelligent
e300,n689,n300,bad
e301,n689,n301,new
e302,n689,n302,brief
e303,n689,n303,
e304,n689,n304,
e305,n689,n305,
e306,n689,n306,fundamental
e307,n689,n307,discrete
e308,n689,n308,physical
e309,n689,n309,
e310,n689,n310,
e311,n689,n311,
e312,n689,n312,general
e313,n689,n313,better
e314,n689,n314,black
e315,n689,n315,gravitational
e316,n689,n316,
e317,n689,n317,
e318,n689,n318,
e319,n689,n319,general
e320,n689,n320,
e321,n689,n321,
e322,n689,n322,basic
e323,n689,n323,massive
e324,n689,n324,
e325,n689,n325,different
e326,n689,n326,
e327,n689,n327,
e328,n689,n328,next
e329,n689,n329,
e330,n689,n330,
e331,n689,n331,
e332,n689,n332,
e333,n689,n333,general
