id,source,target,value
e0,n550,n0,
e1,n550,n1,
e2,n550,n2,
e3,n550,n3,amazing
e4,n550,n4,
e5,n550,n5,systematic
e6,n550,n6,big
e7,n550,n7,certain
e8,n550,n8,scientific
e9,n550,n9,
e10,n550,n10,
e11,n550,n11,
e12,n550,n12,whole
e13,n550,n13,
e14,n550,n14,magic
e15,n550,n15,outside
e16,n550,n16,
e17,n550,n17,brilliant
e18,n550,n18,sighted
e19,n550,n19,
e20,n550,n20,
e21,n550,n21,sheer
e22,n550,n22,same
e23,n550,n23,
e24,n550,n24,
e25,n550,n25,
e26,n550,n26,
e27,n550,n27,other
e28,n550,n28,
e29,n550,n29,real
e30,n550,n30,other
e31,n550,n31,
e32,n550,n32,
e33,n550,n33,
e34,n550,n34,
e35,n550,n35,
e36,n550,n36,
e37,n550,n37,genetic
e38,n550,n38,
e39,n550,n39,
e40,n550,n40,such
e41,n550,n41,
e42,n550,n42,human
e43,n550,n43,biggest
e44,n550,n44,
e45,n550,n45,
e46,n550,n46,many
e47,n550,n47,postdoctoral
e48,n550,n48,
e49,n550,n49,
e50,n550,n50,particular
e51,n550,n51,
e52,n550,n52,
e53,n550,n53,
e54,n550,n54,
e55,n550,n55,
e56,n550,n56,
e57,n550,n57,
e58,n550,n58,
e59,n550,n59,good
e60,n550,n60,
e61,n550,n61,
e62,n550,n62,own
e63,n550,n63,
e64,n550,n64,
e65,n550,n65,obvious
e66,n550,n66,
e67,n550,n67,
e68,n550,n68,annual
e69,n550,n69,
e70,n550,n70,multiple
e71,n550,n71,
e72,n550,n72,different
e73,n550,n73,
e74,n550,n74,next
e75,n550,n75,
e76,n550,n76,former
e77,n550,n77,
e78,n550,n78,
e79,n550,n79,
e80,n550,n80,
e81,n550,n81,broad
e82,n550,n82,derivative
e83,n550,n83,exciting
e84,n550,n84,multiple
e85,n550,n85,robotic
e86,n550,n86,
e87,n550,n87,
e88,n550,n88,
e89,n550,n89,new
e90,n550,n90,other
e91,n550,n91,
e92,n550,n92,
e93,n550,n93,new
e94,n550,n94,particular
e95,n550,n95,good
e96,n550,n96,initial
e97,n550,n97,other
e98,n550,n98,different
e99,n550,n99,large
e100,n550,n100,
e101,n550,n101,
e102,n550,n102,
e103,n550,n103,fundamental
e104,n550,n104,different
e105,n550,n105,many
e106,n550,n106,different
e107,n550,n107,
e108,n550,n108,
e109,n550,n109,genetic
e110,n550,n110,
e111,n550,n111,multiple
e112,n550,n112,
e113,n550,n113,
e114,n550,n114,
e115,n550,n115,human
e116,n550,n116,outside
e117,n550,n117,
e118,n550,n118,
e119,n550,n119,
e120,n550,n120,
e121,n550,n121,
e122,n550,n122,
e123,n550,n123,reliable
e124,n550,n124,
e125,n550,n125,various
e126,n550,n126,solid
e127,n550,n127,
e128,n550,n128,
e129,n550,n129,other
e130,n550,n130,medical
e131,n550,n131,certain
e132,n550,n132,biological
e133,n550,n133,
e134,n550,n134,pharmaceutical
e135,n550,n135,
e136,n550,n136,
e137,n550,n137,
e138,n550,n138,
e139,n550,n139,
e140,n550,n140,
e141,n550,n141,
e142,n550,n142,cancerous
e143,n550,n143,many
e144,n550,n144,
e145,n550,n145,
e146,n550,n146,different
e147,n550,n147,
e148,n550,n148,
e149,n550,n149,nervous
e150,n550,n150,
e151,n550,n151,new
e152,n550,n152,good
e153,n550,n153,
e154,n550,n154,first
e155,n550,n155,other
e156,n550,n156,
e157,n550,n157,
e158,n550,n158,
e159,n550,n159,
