id,source,target,value
e0,n759,n0,
e1,n759,n1,
e2,n759,n2,fundamental
e3,n759,n3,human
e4,n759,n4,
e5,n759,n5,
e6,n759,n6,mere
e7,n759,n7,
e8,n759,n8,interesting
e9,n759,n9,
e10,n759,n10,physical
e11,n759,n11,tricky
e12,n759,n12,big
e13,n759,n13,
e14,n759,n14,best
e15,n759,n15,
e16,n759,n16,
e17,n759,n17,little
e18,n759,n18,special
e19,n759,n19,
e20,n759,n20,
e21,n759,n21,
e22,n759,n22,
e23,n759,n23,
e24,n759,n24,
e25,n759,n25,
e26,n759,n26,
e27,n759,n27,
e28,n759,n28,
e29,n759,n29,
e30,n759,n30,
e31,n759,n31,
e32,n759,n32,
e33,n759,n33,
e34,n759,n34,many
e35,n759,n35,human
e36,n759,n36,human
e37,n759,n37,
e38,n759,n38,modular
e39,n759,n39,hard
e40,n759,n40,general
e41,n759,n41,actual
e42,n759,n42,
e43,n759,n43,
e44,n759,n44,nervous
e45,n759,n45,
e46,n759,n46,dependent
e47,n759,n47,big
e48,n759,n48,common
e49,n759,n49,natural
e50,n759,n50,
e51,n759,n51,physical
e52,n759,n52,unexpected
e53,n759,n53,
e54,n759,n54,
e55,n759,n55,
e56,n759,n56,
e57,n759,n57,superhuman
e58,n759,n58,
e59,n759,n59,critical
e60,n759,n60,
e61,n759,n61,great
e62,n759,n62,philosophical
e63,n759,n63,cognitive
e64,n759,n64,integrative
e65,n759,n65,
e66,n759,n66,future
e67,n759,n67,
e68,n759,n68,
e69,n759,n69,
e70,n759,n70,symbolic
e71,n759,n71,
e72,n759,n72,more
e73,n759,n73,
e74,n759,n74,
e75,n759,n75,
e76,n759,n76,
e77,n759,n77,
e78,n759,n78,
e79,n759,n79,
e80,n759,n80,evolutionary
e81,n759,n81,
e82,n759,n82,
e83,n759,n83,many
e84,n759,n84,unusual
e85,n759,n85,daily
e86,n759,n86,
e87,n759,n87,right
e88,n759,n88,
e89,n759,n89,
e90,n759,n90,robotic
e91,n759,n91,first
e92,n759,n92,
e93,n759,n93,daily
