id,source,target,value
e0,n1096,n0,
e1,n1096,n1,
e2,n1096,n2,
e3,n1096,n3,
e4,n1096,n4,
e5,n1096,n5,
e6,n1096,n6,
e7,n1096,n7,
e8,n1096,n8,little
e9,n1096,n9,
e10,n1096,n10,
e11,n1096,n11,huge
e12,n1096,n12,
e13,n1096,n13,
e14,n1096,n14,
e15,n1096,n15,near
e16,n1096,n16,possible
e17,n1096,n17,
e18,n1096,n18,many
e19,n1096,n19,
e20,n1096,n20,certain
e21,n1096,n21,interesting
e22,n1096,n22,
e23,n1096,n23,
e24,n1096,n24,
e25,n1096,n25,
e26,n1096,n26,human
e27,n1096,n27,
e28,n1096,n28,
e29,n1096,n29,different
e30,n1096,n30,
e31,n1096,n31,good
e32,n1096,n32,more
e33,n1096,n33,robotic
e34,n1096,n34,
e35,n1096,n35,
e36,n1096,n36,nationwide
e37,n1096,n37,opposite
e38,n1096,n38,
e39,n1096,n39,social
e40,n1096,n40,greater
e41,n1096,n41,artificial
e42,n1096,n42,greater
e43,n1096,n43,
e44,n1096,n44,interactive
e45,n1096,n45,
e46,n1096,n46,
e47,n1096,n47,
e48,n1096,n48,easy
e49,n1096,n49,current
e50,n1096,n50,interesting
e51,n1096,n51,presidential
e52,n1096,n52,
e53,n1096,n53,
e54,n1096,n54,
e55,n1096,n55,classical
e56,n1096,n56,
e57,n1096,n57,early
e58,n1096,n58,
e59,n1096,n59,musical
e60,n1096,n60,first
e61,n1096,n61,
e62,n1096,n62,musical
e63,n1096,n63,favorite
e64,n1096,n64,
e65,n1096,n65,
e66,n1096,n66,
e67,n1096,n67,
e68,n1096,n68,
e69,n1096,n69,
e70,n1096,n70,
e71,n1096,n71,individual
e72,n1096,n72,
e73,n1096,n73,bad
e74,n1096,n74,
e75,n1096,n75,
e76,n1096,n76,
e77,n1096,n77,
e78,n1096,n78,few
e79,n1096,n79,
e80,n1096,n80,academic
e81,n1096,n81,
e82,n1096,n82,
e83,n1096,n83,
e84,n1096,n84,
e85,n1096,n85,
e86,n1096,n86,central
e87,n1096,n87,
e88,n1096,n88,multiple
e89,n1096,n89,
e90,n1096,n90,different
e91,n1096,n91,
e92,n1096,n92,brilliant
e93,n1096,n93,
e94,n1096,n94,
e95,n1096,n95,best
e96,n1096,n96,human
e97,n1096,n97,
e98,n1096,n98,real
e99,n1096,n99,
e100,n1096,n100,cognitive
e101,n1096,n101,non
e102,n1096,n102,
e103,n1096,n103,beautiful
e104,n1096,n104,random
e105,n1096,n105,
e106,n1096,n106,
e107,n1096,n107,
e108,n1096,n108,
e109,n1096,n109,best
e110,n1096,n110,
e111,n1096,n111,
e112,n1096,n112,
e113,n1096,n113,
e114,n1096,n114,various
e115,n1096,n115,
e116,n1096,n116,
e117,n1096,n117,cognitive
e118,n1096,n118,
e119,n1096,n119,
e120,n1096,n120,random
e121,n1096,n121,
e122,n1096,n122,
e123,n1096,n123,brilliant
e124,n1096,n124,
e125,n1096,n125,
e126,n1096,n126,
e127,n1096,n127,possible
e128,n1096,n128,little
e129,n1096,n129,same
e130,n1096,n130,
e131,n1096,n131,
e132,n1096,n132,interesting
e133,n1096,n133,
e134,n1096,n134,
e135,n1096,n135,
e136,n1096,n136,remarkable
e137,n1096,n137,
e138,n1096,n138,
e139,n1096,n139,other
e140,n1096,n140,
e141,n1096,n141,
e142,n1096,n142,
e143,n1096,n143,various
e144,n1096,n144,first
e145,n1096,n145,
e146,n1096,n146,
e147,n1096,n147,
e148,n1096,n148,
e149,n1096,n149,
e150,n1096,n150,
e151,n1096,n151,healthy
e152,n1096,n152,separate
e153,n1096,n153,
e154,n1096,n154,
e155,n1096,n155,
e156,n1096,n156,
e157,n1096,n157,
e158,n1096,n158,
e159,n1096,n159,
e160,n1096,n160,
e161,n1096,n161,much
e162,n1096,n162,
e163,n1096,n163,single
e164,n1096,n164,
e165,n1096,n165,
e166,n1096,n166,
e167,n1096,n167,
e168,n1096,n168,
e169,n1096,n169,
e170,n1096,n170,
e171,n1096,n171,
e172,n1096,n172,
e173,n1096,n173,
e174,n1096,n174,
e175,n1096,n175,
e176,n1096,n176,
e177,n1096,n177,
e178,n1096,n178,
e179,n1096,n179,
e180,n1096,n180,
e181,n1096,n181,strange
e182,n1096,n182,
e183,n1096,n183,awesome
e184,n1096,n184,particular
e185,n1096,n185,much
e186,n1096,n186,
e187,n1096,n187,
e188,n1096,n188,
e189,n1096,n189,
e190,n1096,n190,
e191,n1096,n191,
e192,n1096,n192,
e193,n1096,n193,worst
e194,n1096,n194,
e195,n1096,n195,
e196,n1096,n196,
e197,n1096,n197,
e198,n1096,n198,
e199,n1096,n199,extreme
e200,n1096,n200,
e201,n1096,n201,
e202,n1096,n202,
e203,n1096,n203,
e204,n1096,n204,
e205,n1096,n205,slow
e206,n1096,n206,large
e207,n1096,n207,mainstream
e208,n1096,n208,
e209,n1096,n209,
e210,n1096,n210,
e211,n1096,n211,commercial
e212,n1096,n212,
e213,n1096,n213,
e214,n1096,n214,
e215,n1096,n215,
e216,n1096,n216,
e217,n1096,n217,great
e218,n1096,n218,
e219,n1096,n219,
e220,n1096,n220,
e221,n1096,n221,other
e222,n1096,n222,
e223,n1096,n223,small
e224,n1096,n224,worst
e225,n1096,n225,particular
e226,n1096,n226,arbitrary
e227,n1096,n227,infinite
e228,n1096,n228,
