id,source,target,value
e0,n622,n0,
e1,n622,n1,
e2,n622,n2,easy
e3,n622,n3,intuitive
e4,n622,n4,continual
e5,n622,n5,human
e6,n622,n6,
e7,n622,n7,
e8,n622,n8,real
e9,n622,n9,
e10,n622,n10,
e11,n622,n11,
e12,n622,n12,brief
e13,n622,n13,crazy
e14,n622,n14,human
e15,n622,n15,other
e16,n622,n16,visual
e17,n622,n17,cognitive
e18,n622,n18,real
e19,n622,n19,different
e20,n622,n20,
e21,n622,n21,active
e22,n622,n22,
e23,n622,n23,
e24,n622,n24,powerful
e25,n622,n25,Aristotelian
e26,n622,n26,different
e27,n622,n27,
e28,n622,n28,
e29,n622,n29,
e30,n622,n30,
e31,n622,n31,same
e32,n622,n32,
e33,n622,n33,
e34,n622,n34,
e35,n622,n35,
e36,n622,n36,cool
e37,n622,n37,
e38,n622,n38,
e39,n622,n39,
e40,n622,n40,
e41,n622,n41,
e42,n622,n42,
e43,n622,n43,
e44,n622,n44,
e45,n622,n45,
e46,n622,n46,incomplete
e47,n622,n47,
e48,n622,n48,concrete
e49,n622,n49,objective
e50,n622,n50,relative
e51,n622,n51,
e52,n622,n52,true
e53,n622,n53,scientific
e54,n622,n54,
e55,n622,n55,graduate
e56,n622,n56,
e57,n622,n57,
e58,n622,n58,important
e59,n622,n59,elementary
e60,n622,n60,
e61,n622,n61,
e62,n622,n62,
e63,n622,n63,
e64,n622,n64,
e65,n622,n65,historical
e66,n622,n66,
e67,n622,n67,nice
e68,n622,n68,
e69,n622,n69,several
e70,n622,n70,
e71,n622,n71,
e72,n622,n72,simple
e73,n622,n73,scientific
e74,n622,n74,ethical
e75,n622,n75,beautiful
e76,n622,n76,different
e77,n622,n77,
e78,n622,n78,
e79,n622,n79,
e80,n622,n80,
e81,n622,n81,
e82,n622,n82,
e83,n622,n83,
e84,n622,n84,
e85,n622,n85,
e86,n622,n86,
e87,n622,n87,triple
e88,n622,n88,
e89,n622,n89,final
e90,n622,n90,convincing
e91,n622,n91,
e92,n622,n92,seeming
e93,n622,n93,
e94,n622,n94,
e95,n622,n95,certain
e96,n622,n96,defensive
e97,n622,n97,
e98,n622,n98,particular
e99,n622,n99,
e100,n622,n100,
e101,n622,n101,
e102,n622,n102,final
e103,n622,n103,
