id,source,target,value
e0,n884,n0,
e1,n884,n1,
e2,n884,n2,little
e3,n884,n3,nuclear
e4,n884,n4,
e5,n884,n5,few
e6,n884,n6,
e7,n884,n7,
e8,n884,n8,
e9,n884,n9,
e10,n884,n10,nuclear
e11,n884,n11,
e12,n884,n12,nuclear
e13,n884,n13,nuclear
e14,n884,n14,nuclear
e15,n884,n15,
e16,n884,n16,
e17,n884,n17,
e18,n884,n18,
e19,n884,n19,historical
e20,n884,n20,
e21,n884,n21,fourth
e22,n884,n22,
e23,n884,n23,liquid
e24,n884,n24,hot
e25,n884,n25,
e26,n884,n26,
e27,n884,n27,
e28,n884,n28,hotter
e29,n884,n29,
e30,n884,n30,
e31,n884,n31,most
e32,n884,n32,
e33,n884,n33,
e34,n884,n34,
e35,n884,n35,
e36,n884,n36,enough
e37,n884,n37,similar
e38,n884,n38,important
e39,n884,n39,
e40,n884,n40,
e41,n884,n41,other
e42,n884,n42,whole
e43,n884,n43,
e44,n884,n44,vast
e45,n884,n45,
e46,n884,n46,ridiculous
e47,n884,n47,
e48,n884,n48,
e49,n884,n49,chemical
e50,n884,n50,
e51,n884,n51,heavy
e52,n884,n52,enough
e53,n884,n53,
e54,n884,n54,
e55,n884,n55,heavy
e56,n884,n56,nuclear
e57,n884,n57,more
e58,n884,n58,
e59,n884,n59,
e60,n884,n60,total
e61,n884,n61,nuclear
e62,n884,n62,nuclear
e63,n884,n63,
e64,n884,n64,
e65,n884,n65,
e66,n884,n66,
e67,n884,n67,
e68,n884,n68,
e69,n884,n69,
e70,n884,n70,
e71,n884,n71,
e72,n884,n72,
e73,n884,n73,hard
e74,n884,n74,
e75,n884,n75,
e76,n884,n76,physical
e77,n884,n77,
e78,n884,n78,
e79,n884,n79,
e80,n884,n80,
e81,n884,n81,
e82,n884,n82,
e83,n884,n83,
e84,n884,n84,electric
e85,n884,n85,
e86,n884,n86,nuclear
e87,n884,n87,high
e88,n884,n88,
e89,n884,n89,high
e90,n884,n90,random
e91,n884,n91,long
e92,n884,n92,human
e93,n884,n93,
e94,n884,n94,
e95,n884,n95,
e96,n884,n96,
e97,n884,n97,
e98,n884,n98,
e99,n884,n99,
e100,n884,n100,
e101,n884,n101,
e102,n884,n102,
e103,n884,n103,
e104,n884,n104,
e105,n884,n105,
e106,n884,n106,enough
e107,n884,n107,
e108,n884,n108,few
e109,n884,n109,
e110,n884,n110,
e111,n884,n111,
e112,n884,n112,
e113,n884,n113,
e114,n884,n114,nonmaterial
e115,n884,n115,nonmaterial
e116,n884,n116,
e117,n884,n117,gravitational
e118,n884,n118,small
e119,n884,n119,predominant
e120,n884,n120,
e121,n884,n121,magnetic
e122,n884,n122,entire
e123,n884,n123,hot
e124,n884,n124,
e125,n884,n125,ultimate
e126,n884,n126,Western
e127,n884,n127,dumb
e128,n884,n128,
e129,n884,n129,main
e130,n884,n130,
e131,n884,n131,polluted
e132,n884,n132,high
e133,n884,n133,magnetic
e134,n884,n134,
e135,n884,n135,experimental
e136,n884,n136,
e137,n884,n137,
e138,n884,n138,confinement
e139,n884,n139,
e140,n884,n140,
e141,n884,n141,
e142,n884,n142,Russian
e143,n884,n143,
e144,n884,n144,international
e145,n884,n145,
e146,n884,n146,magnetic
e147,n884,n147,
e148,n884,n148,geometric
e149,n884,n149,
e150,n884,n150,
e151,n884,n151,
e152,n884,n152,
e153,n884,n153,
e154,n884,n154,magnetic
e155,n884,n155,particular
e156,n884,n156,Best
e157,n884,n157,near
e158,n884,n158,
e159,n884,n159,big
e160,n884,n160,
e161,n884,n161,
e162,n884,n162,
e163,n884,n163,helical
e164,n884,n164,
e165,n884,n165,helical
e166,n884,n166,
e167,n884,n167,
e168,n884,n168,
e169,n884,n169,
e170,n884,n170,
e171,n884,n171,
e172,n884,n172,
e173,n884,n173,
e174,n884,n174,
e175,n884,n175,bigger
e176,n884,n176,technical
e177,n884,n177,existential
e178,n884,n178,single
e179,n884,n179,
e180,n884,n180,
e181,n884,n181,
e182,n884,n182,random
e183,n884,n183,large
e184,n884,n184,
e185,n884,n185,
e186,n884,n186,
e187,n884,n187,
e188,n884,n188,
e189,n884,n189,
e190,n884,n190,electrical
e191,n884,n191,thermal
e192,n884,n192,
e193,n884,n193,
e194,n884,n194,
e195,n884,n195,
e196,n884,n196,nuclear
e197,n884,n197,
e198,n884,n198,
e199,n884,n199,few
e200,n884,n200,
e201,n884,n201,few
e202,n884,n202,
e203,n884,n203,great
e204,n884,n204,
e205,n884,n205,powerful
e206,n884,n206,
e207,n884,n207,
e208,n884,n208,big
e209,n884,n209,
e210,n884,n210,
e211,n884,n211,
e212,n884,n212,nuclear
e213,n884,n213,
e214,n884,n214,
e215,n884,n215,big
e216,n884,n216,
e217,n884,n217,first
e218,n884,n218,
e219,n884,n219,many
e220,n884,n220,many
e221,n884,n221,
e222,n884,n222,
e223,n884,n223,first
e224,n884,n224,few
e225,n884,n225,big
e226,n884,n226,certain
e227,n884,n227,
e228,n884,n228,
e229,n884,n229,few
e230,n884,n230,
e231,n884,n231,solar
e232,n884,n232,biological
e233,n884,n233,
e234,n884,n234,
e235,n884,n235,
e236,n884,n236,magic
e237,n884,n237,generic
e238,n884,n238,capitalist
e239,n884,n239,grave
e240,n884,n240,more
e241,n884,n241,other
e242,n884,n242,personal
e243,n884,n243,terrific
e244,n884,n244,
e245,n884,n245,
e246,n884,n246,
e247,n884,n247,
e248,n884,n248,
e249,n884,n249,
e250,n884,n250,nuclear
e251,n884,n251,
e252,n884,n252,
e253,n884,n253,
e254,n884,n254,certain
e255,n884,n255,CO2
e256,n884,n256,
e257,n884,n257,
e258,n884,n258,
e259,n884,n259,
e260,n884,n260,
e261,n884,n261,nuclear
e262,n884,n262,terrific
e263,n884,n263,
e264,n884,n264,
e265,n884,n265,
e266,n884,n266,
e267,n884,n267,new
e268,n884,n268,
e269,n884,n269,
e270,n884,n270,serious
e271,n884,n271,popular
e272,n884,n272,
e273,n884,n273,
e274,n884,n274,recent
e275,n884,n275,near
e276,n884,n276,other
e277,n884,n277,
e278,n884,n278,main
e279,n884,n279,fossil
e280,n884,n280,short
e281,n884,n281,
e282,n884,n282,
e283,n884,n283,main
e284,n884,n284,benign
e285,n884,n285,solved
e286,n884,n286,
e287,n884,n287,
e288,n884,n288,
e289,n884,n289,
e290,n884,n290,
e291,n884,n291,
e292,n884,n292,
e293,n884,n293,tidal
e294,n884,n294,
e295,n884,n295,
e296,n884,n296,
e297,n884,n297,
e298,n884,n298,fissile
e299,n884,n299,
e300,n884,n300,
e301,n884,n301,bad
e302,n884,n302,nuclear
e303,n884,n303,
e304,n884,n304,major
e305,n884,n305,
e306,n884,n306,
e307,n884,n307,
e308,n884,n308,
e309,n884,n309,
e310,n884,n310,
e311,n884,n311,
e312,n884,n312,
e313,n884,n313,
e314,n884,n314,
e315,n884,n315,popular
e316,n884,n316,bad
e317,n884,n317,
e318,n884,n318,
e319,n884,n319,
e320,n884,n320,
e321,n884,n321,
e322,n884,n322,
e323,n884,n323,
e324,n884,n324,
e325,n884,n325,hard
e326,n884,n326,
e327,n884,n327,natural
e328,n884,n328,
e329,n884,n329,
e330,n884,n330,nuclear
e331,n884,n331,
e332,n884,n332,
e333,n884,n333,
e334,n884,n334,
e335,n884,n335,
e336,n884,n336,
e337,n884,n337,
e338,n884,n338,
e339,n884,n339,
e340,n884,n340,
e341,n884,n341,
e342,n884,n342,
e343,n884,n343,large
e344,n884,n344,little
e345,n884,n345,
e346,n884,n346,
e347,n884,n347,particular
e348,n884,n348,
e349,n884,n349,
e350,n884,n350,national
e351,n884,n351,
e352,n884,n352,
e353,n884,n353,powerful
e354,n884,n354,
e355,n884,n355,
e356,n884,n356,late
e357,n884,n357,
e358,n884,n358,
e359,n884,n359,
e360,n884,n360,
e361,n884,n361,sinful
e362,n884,n362,powerful
e363,n884,n363,assured
e364,n884,n364,many
e365,n884,n365,
e366,n884,n366,
e367,n884,n367,big
e368,n884,n368,big
e369,n884,n369,
e370,n884,n370,
e371,n884,n371,crucial
e372,n884,n372,
e373,n884,n373,
e374,n884,n374,
e375,n884,n375,biggest
e376,n884,n376,
e377,n884,n377,natural
e378,n884,n378,
e379,n884,n379,
e380,n884,n380,Spanish
e381,n884,n381,human
e382,n884,n382,possible
e383,n884,n383,
e384,n884,n384,existential
e385,n884,n385,
e386,n884,n386,artificial
e387,n884,n387,
e388,n884,n388,
e389,n884,n389,special
e390,n884,n390,
e391,n884,n391,
e392,n884,n392,
e393,n884,n393,Western
e394,n884,n394,
e395,n884,n395,human
e396,n884,n396,
e397,n884,n397,
e398,n884,n398,
e399,n884,n399,
e400,n884,n400,cognitive
e401,n884,n401,
e402,n884,n402,
e403,n884,n403,
e404,n884,n404,sober
e405,n884,n405,
e406,n884,n406,
e407,n884,n407,
e408,n884,n408,better
e409,n884,n409,sociological
e410,n884,n410,global
e411,n884,n411,
e412,n884,n412,
e413,n884,n413,
e414,n884,n414,
e415,n884,n415,CO2
e416,n884,n416,
e417,n884,n417,
e418,n884,n418,
e419,n884,n419,
e420,n884,n420,own
e421,n884,n421,
e422,n884,n422,sustainable
e423,n884,n423,less
e424,n884,n424,
e425,n884,n425,Western
e426,n884,n426,
e427,n884,n427,
e428,n884,n428,complete
e429,n884,n429,dramatic
e430,n884,n430,
e431,n884,n431,
e432,n884,n432,many
e433,n884,n433,
e434,n884,n434,technological
e435,n884,n435,
e436,n884,n436,human
e437,n884,n437,
e438,n884,n438,high
e439,n884,n439,
e440,n884,n440,best
e441,n884,n441,
e442,n884,n442,tremendous
e443,n884,n443,latest
e444,n884,n444,
e445,n884,n445,
e446,n884,n446,real
e447,n884,n447,personal
e448,n884,n448,personal
e449,n884,n449,influential
e450,n884,n450,personal
e451,n884,n451,particular
e452,n884,n452,
e453,n884,n453,
e454,n884,n454,first
e455,n884,n455,
e456,n884,n456,
e457,n884,n457,
e458,n884,n458,
e459,n884,n459,high
e460,n884,n460,
e461,n884,n461,daily
e462,n884,n462,
e463,n884,n463,
e464,n884,n464,most
e465,n884,n465,closest
e466,n884,n466,important
e467,n884,n467,small
e468,n884,n468,
e469,n884,n469,great
e470,n884,n470,radical
e471,n884,n471,15th
e472,n884,n472,
e473,n884,n473,Western
e474,n884,n474,Christian
e475,n884,n475,
e476,n884,n476,
e477,n884,n477,scientific
e478,n884,n478,
e479,n884,n479,
e480,n884,n480,full
e481,n884,n481,scientific
e482,n884,n482,moral
e483,n884,n483,
e484,n884,n484,
e485,n884,n485,
e486,n884,n486,
e487,n884,n487,
e488,n884,n488,
e489,n884,n489,
e490,n884,n490,
e491,n884,n491,personal
e492,n884,n492,actual
e493,n884,n493,
e494,n884,n494,
e495,n884,n495,
e496,n884,n496,
e497,n884,n497,own
e498,n884,n498,benevolent
e499,n884,n499,Anglican
e500,n884,n500,
e501,n884,n501,
e502,n884,n502,
e503,n884,n503,
e504,n884,n504,
e505,n884,n505,powerful
e506,n884,n506,
e507,n884,n507,
e508,n884,n508,
e509,n884,n509,
e510,n884,n510,superior
e511,n884,n511,
e512,n884,n512,
e513,n884,n513,
e514,n884,n514,
e515,n884,n515,
e516,n884,n516,
e517,n884,n517,
e518,n884,n518,
e519,n884,n519,
e520,n884,n520,few
e521,n884,n521,
e522,n884,n522,other
e523,n884,n523,finite
e524,n884,n524,
e525,n884,n525,own
e526,n884,n526,
e527,n884,n527,
e528,n884,n528,
e529,n884,n529,
e530,n884,n530,
e531,n884,n531,
e532,n884,n532,
e533,n884,n533,Christian
e534,n884,n534,Christian
e535,n884,n535,
e536,n884,n536,
e537,n884,n537,
e538,n884,n538,
e539,n884,n539,
e540,n884,n540,
e541,n884,n541,
e542,n884,n542,scientific
e543,n884,n543,different
e544,n884,n544,
e545,n884,n545,
e546,n884,n546,
e547,n884,n547,different
e548,n884,n548,
e549,n884,n549,approximate
e550,n884,n550,
e551,n884,n551,
e552,n884,n552,intellectual
e553,n884,n553,
e554,n884,n554,
e555,n884,n555,
e556,n884,n556,
e557,n884,n557,
e558,n884,n558,related
e559,n884,n559,
e560,n884,n560,
e561,n884,n561,
e562,n884,n562,unique
e563,n884,n563,
e564,n884,n564,
e565,n884,n565,
e566,n884,n566,unique
e567,n884,n567,very
e568,n884,n568,
e569,n884,n569,
e570,n884,n570,
e571,n884,n571,
e572,n884,n572,
e573,n884,n573,
e574,n884,n574,
e575,n884,n575,own
e576,n884,n576,
e577,n884,n577,scientistic
e578,n884,n578,evolutionary
e579,n884,n579,
e580,n884,n580,
e581,n884,n581,long
e582,n884,n582,
e583,n884,n583,
e584,n884,n584,
e585,n884,n585,
e586,n884,n586,beautiful
e587,n884,n587,
e588,n884,n588,actual
e589,n884,n589,
e590,n884,n590,
e591,n884,n591,moral
e592,n884,n592,
e593,n884,n593,
e594,n884,n594,
e595,n884,n595,
e596,n884,n596,
e597,n884,n597,
e598,n884,n598,third
e599,n884,n599,
e600,n884,n600,
e601,n884,n601,
e602,n884,n602,
e603,n884,n603,real
e604,n884,n604,
e605,n884,n605,
e606,n884,n606,important
e607,n884,n607,
e608,n884,n608,
e609,n884,n609,
e610,n884,n610,
e611,n884,n611,prudent
e612,n884,n612,wrong
e613,n884,n613,
e614,n884,n614,
e615,n884,n615,
e616,n884,n616,
e617,n884,n617,
e618,n884,n618,Christian
e619,n884,n619,
e620,n884,n620,key
e621,n884,n621,interesting
e622,n884,n622,
e623,n884,n623,
e624,n884,n624,
e625,n884,n625,
e626,n884,n626,
e627,n884,n627,
e628,n884,n628,other
e629,n884,n629,better
e630,n884,n630,
e631,n884,n631,
e632,n884,n632,true
e633,n884,n633,annoying
e634,n884,n634,much
e635,n884,n635,lasting
e636,n884,n636,much
e637,n884,n637,
e638,n884,n638,
e639,n884,n639,
e640,n884,n640,
e641,n884,n641,
e642,n884,n642,
e643,n884,n643,
e644,n884,n644,moral
e645,n884,n645,human
e646,n884,n646,
e647,n884,n647,
e648,n884,n648,
e649,n884,n649,tribal
e650,n884,n650,
e651,n884,n651,
e652,n884,n652,mere
e653,n884,n653,moral
e654,n884,n654,
e655,n884,n655,
e656,n884,n656,
e657,n884,n657,
e658,n884,n658,
e659,n884,n659,
e660,n884,n660,past
e661,n884,n661,
e662,n884,n662,powerful
e663,n884,n663,
e664,n884,n664,
e665,n884,n665,
e666,n884,n666,red
e667,n884,n667,
e668,n884,n668,
e669,n884,n669,
e670,n884,n670,
e671,n884,n671,
e672,n884,n672,actual
e673,n884,n673,little
e674,n884,n674,
e675,n884,n675,
e676,n884,n676,
e677,n884,n677,
e678,n884,n678,social
e679,n884,n679,
e680,n884,n680,
e681,n884,n681,tribal
e682,n884,n682,
e683,n884,n683,
e684,n884,n684,
e685,n884,n685,amazing
e686,n884,n686,tribal
e687,n884,n687,
e688,n884,n688,
e689,n884,n689,crucial
e690,n884,n690,
e691,n884,n691,
e692,n884,n692,other
e693,n884,n693,
e694,n884,n694,own
e695,n884,n695,
e696,n884,n696,
e697,n884,n697,big
e698,n884,n698,hardest
e699,n884,n699,intellectual
e700,n884,n700,
e701,n884,n701,
e702,n884,n702,
e703,n884,n703,
e704,n884,n704,
e705,n884,n705,
e706,n884,n706,
e707,n884,n707,horrible
e708,n884,n708,
e709,n884,n709,obvious
e710,n884,n710,initial
e711,n884,n711,
e712,n884,n712,
e713,n884,n713,
e714,n884,n714,
e715,n884,n715,
e716,n884,n716,
e717,n884,n717,intellectual
e718,n884,n718,
e719,n884,n719,
e720,n884,n720,
e721,n884,n721,
e722,n884,n722,
e723,n884,n723,
e724,n884,n724,
e725,n884,n725,
e726,n884,n726,
e727,n884,n727,
e728,n884,n728,
e729,n884,n729,
e730,n884,n730,
e731,n884,n731,
e732,n884,n732,consistent
e733,n884,n733,full
e734,n884,n734,subjective
e735,n884,n735,Christian
e736,n884,n736,
e737,n884,n737,
e738,n884,n738,
e739,n884,n739,
e740,n884,n740,
e741,n884,n741,
e742,n884,n742,physical
e743,n884,n743,
e744,n884,n744,
e745,n884,n745,
e746,n884,n746,
e747,n884,n747,
e748,n884,n748,big
e749,n884,n749,slight
e750,n884,n750,
e751,n884,n751,
e752,n884,n752,
e753,n884,n753,
e754,n884,n754,
e755,n884,n755,
e756,n884,n756,
e757,n884,n757,
e758,n884,n758,Christian
e759,n884,n759,
e760,n884,n760,
e761,n884,n761,religious
e762,n884,n762,
e763,n884,n763,sufficient
e764,n884,n764,
e765,n884,n765,
e766,n884,n766,
e767,n884,n767,
e768,n884,n768,
e769,n884,n769,religious
e770,n884,n770,
e771,n884,n771,
e772,n884,n772,alone
e773,n884,n773,human
e774,n884,n774,
e775,n884,n775,modest
e776,n884,n776,
e777,n884,n777,
e778,n884,n778,
e779,n884,n779,
e780,n884,n780,
e781,n884,n781,digital
e782,n884,n782,
e783,n884,n783,
e784,n884,n784,
e785,n884,n785,
e786,n884,n786,
e787,n884,n787,
e788,n884,n788,
e789,n884,n789,
e790,n884,n790,
e791,n884,n791,
e792,n884,n792,
e793,n884,n793,intelligent
e794,n884,n794,
e795,n884,n795,
e796,n884,n796,religious
e797,n884,n797,whole
e798,n884,n798,different
e799,n884,n799,
e800,n884,n800,
e801,n884,n801,scientific
e802,n884,n802,
e803,n884,n803,
e804,n884,n804,right
e805,n884,n805,wet
e806,n884,n806,
e807,n884,n807,
e808,n884,n808,
e809,n884,n809,
e810,n884,n810,quantum
e811,n884,n811,human
e812,n884,n812,
e813,n884,n813,
e814,n884,n814,
e815,n884,n815,
e816,n884,n816,
e817,n884,n817,individual
e818,n884,n818,emergent
e819,n884,n819,
e820,n884,n820,
e821,n884,n821,
e822,n884,n822,
e823,n884,n823,
e824,n884,n824,
e825,n884,n825,
e826,n884,n826,
e827,n884,n827,
e828,n884,n828,
e829,n884,n829,
e830,n884,n830,slow
e831,n884,n831,
e832,n884,n832,
e833,n884,n833,
e834,n884,n834,
e835,n884,n835,
e836,n884,n836,
e837,n884,n837,
e838,n884,n838,
e839,n884,n839,
e840,n884,n840,
e841,n884,n841,various
e842,n884,n842,
e843,n884,n843,
e844,n884,n844,
e845,n884,n845,
e846,n884,n846,
e847,n884,n847,much
e848,n884,n848,
e849,n884,n849,
e850,n884,n850,
e851,n884,n851,
e852,n884,n852,
e853,n884,n853,
e854,n884,n854,
e855,n884,n855,
e856,n884,n856,authoritative
e857,n884,n857,
e858,n884,n858,
e859,n884,n859,
e860,n884,n860,
e861,n884,n861,
e862,n884,n862,
e863,n884,n863,
e864,n884,n864,
e865,n884,n865,
e866,n884,n866,
e867,n884,n867,
e868,n884,n868,
e869,n884,n869,
e870,n884,n870,many
e871,n884,n871,
e872,n884,n872,
e873,n884,n873,key
e874,n884,n874,
e875,n884,n875,
e876,n884,n876,
e877,n884,n877,
e878,n884,n878,
e879,n884,n879,perfect
e880,n884,n880,
e881,n884,n881,
e882,n884,n882,
e883,n884,n883,
