id,source,target,value
e0,n1330,n0,
e1,n1330,n1,
e2,n1330,n2,possible
e3,n1330,n3,first
e4,n1330,n4,rational
e5,n1330,n5,other
e6,n1330,n6,many
e7,n1330,n7,full
e8,n1330,n8,own
e9,n1330,n9,
e10,n1330,n10,
e11,n1330,n11,
e12,n1330,n12,
e13,n1330,n13,only
e14,n1330,n14,wrong
e15,n1330,n15,human
e16,n1330,n16,lonely
e17,n1330,n17,
e18,n1330,n18,other
e19,n1330,n19,
e20,n1330,n20,
e21,n1330,n21,same
e22,n1330,n22,same
e23,n1330,n23,same
e24,n1330,n24,better
e25,n1330,n25,similar
e26,n1330,n26,silly
e27,n1330,n27,
e28,n1330,n28,different
e29,n1330,n29,human
e30,n1330,n30,own
e31,n1330,n31,
e32,n1330,n32,
e33,n1330,n33,important
e34,n1330,n34,same
e35,n1330,n35,
e36,n1330,n36,deep
e37,n1330,n37,similar
e38,n1330,n38,existentialist
e39,n1330,n39,personal
e40,n1330,n40,
e41,n1330,n41,interesting
e42,n1330,n42,
e43,n1330,n43,biggest
e44,n1330,n44,only
e45,n1330,n45,new
e46,n1330,n46,certain
e47,n1330,n47,more
e48,n1330,n48,
e49,n1330,n49,controversial
e50,n1330,n50,
e51,n1330,n51,
e52,n1330,n52,
e53,n1330,n53,own
e54,n1330,n54,human
e55,n1330,n55,many
e56,n1330,n56,
e57,n1330,n57,
e58,n1330,n58,
e59,n1330,n59,
e60,n1330,n60,
e61,n1330,n61,
e62,n1330,n62,
e63,n1330,n63,fundamental
e64,n1330,n64,
e65,n1330,n65,
e66,n1330,n66,inspiring
e67,n1330,n67,
e68,n1330,n68,good
e69,n1330,n69,
e70,n1330,n70,
e71,n1330,n71,
e72,n1330,n72,
e73,n1330,n73,
e74,n1330,n74,bad
e75,n1330,n75,enormous
e76,n1330,n76,most
e77,n1330,n77,
e78,n1330,n78,
e79,n1330,n79,human
e80,n1330,n80,
e81,n1330,n81,human
e82,n1330,n82,evolutionary
e83,n1330,n83,
e84,n1330,n84,sophisticated
e85,n1330,n85,hard
e86,n1330,n86,
e87,n1330,n87,
e88,n1330,n88,
e89,n1330,n89,
e90,n1330,n90,
e91,n1330,n91,
e92,n1330,n92,human
e93,n1330,n93,
e94,n1330,n94,
e95,n1330,n95,
e96,n1330,n96,
e97,n1330,n97,
e98,n1330,n98,
e99,n1330,n99,
e100,n1330,n100,complex
e101,n1330,n101,later
e102,n1330,n102,human
e103,n1330,n103,
e104,n1330,n104,evolutionary
e105,n1330,n105,little
e106,n1330,n106,
e107,n1330,n107,
e108,n1330,n108,
e109,n1330,n109,
e110,n1330,n110,
e111,n1330,n111,certain
e112,n1330,n112,certain
e113,n1330,n113,big
e114,n1330,n114,evolutionary
e115,n1330,n115,large
e116,n1330,n116,early
e117,n1330,n117,
e118,n1330,n118,specific
e119,n1330,n119,
e120,n1330,n120,
e121,n1330,n121,
e122,n1330,n122,certain
e123,n1330,n123,abstract
e124,n1330,n124,total
e125,n1330,n125,
e126,n1330,n126,
e127,n1330,n127,
e128,n1330,n128,
e129,n1330,n129,
e130,n1330,n130,whole
e131,n1330,n131,
e132,n1330,n132,
e133,n1330,n133,clear
e134,n1330,n134,big
e135,n1330,n135,coherent
e136,n1330,n136,
e137,n1330,n137,
e138,n1330,n138,Huge
e139,n1330,n139,other
e140,n1330,n140,
e141,n1330,n141,
e142,n1330,n142,same
e143,n1330,n143,
e144,n1330,n144,actual
e145,n1330,n145,
e146,n1330,n146,
e147,n1330,n147,bad
e148,n1330,n148,
e149,n1330,n149,objective
e150,n1330,n150,
e151,n1330,n151,
e152,n1330,n152,same
e153,n1330,n153,same
e154,n1330,n154,
e155,n1330,n155,
e156,n1330,n156,
e157,n1330,n157,American
e158,n1330,n158,sound
e159,n1330,n159,
e160,n1330,n160,
e161,n1330,n161,
e162,n1330,n162,
e163,n1330,n163,fascinating
e164,n1330,n164,
e165,n1330,n165,
e166,n1330,n166,
e167,n1330,n167,
e168,n1330,n168,
e169,n1330,n169,next
e170,n1330,n170,
e171,n1330,n171,
e172,n1330,n172,
e173,n1330,n173,ancient
e174,n1330,n174,natural
e175,n1330,n175,dumb
e176,n1330,n176,
