id,source,target,value
e0,n1037,n0,
e1,n1037,n1,
e2,n1037,n2,
e3,n1037,n3,
e4,n1037,n4,actual
e5,n1037,n5,big
e6,n1037,n6,
e7,n1037,n7,
e8,n1037,n8,
e9,n1037,n9,
e10,n1037,n10,
e11,n1037,n11,
e12,n1037,n12,Swiss
e13,n1037,n13,
e14,n1037,n14,developmental
e15,n1037,n15,large
e16,n1037,n16,old
e17,n1037,n17,artificial
e18,n1037,n18,
e19,n1037,n19,
e20,n1037,n20,
e21,n1037,n21,
e22,n1037,n22,new
e23,n1037,n23,early
e24,n1037,n24,own
e25,n1037,n25,
e26,n1037,n26,effective
e27,n1037,n27,
e28,n1037,n28,
e29,n1037,n29,
e30,n1037,n30,human
e31,n1037,n31,
e32,n1037,n32,interesting
e33,n1037,n33,
e34,n1037,n34,Early
e35,n1037,n35,artificial
e36,n1037,n36,
e37,n1037,n37,
e38,n1037,n38,
e39,n1037,n39,
e40,n1037,n40,
e41,n1037,n41,
e42,n1037,n42,detailed
e43,n1037,n43,multi
e44,n1037,n44,modular
e45,n1037,n45,
e46,n1037,n46,topological
e47,n1037,n47,
e48,n1037,n48,
e49,n1037,n49,
e50,n1037,n50,hierarchical
e51,n1037,n51,fundamental
e52,n1037,n52,
e53,n1037,n53,human
e54,n1037,n54,
e55,n1037,n55,multiple
e56,n1037,n56,topological
e57,n1037,n57,human
e58,n1037,n58,deep
e59,n1037,n59,
e60,n1037,n60,
e61,n1037,n61,
e62,n1037,n62,regional
e63,n1037,n63,practical
e64,n1037,n64,own
e65,n1037,n65,prior
e66,n1037,n66,special
e67,n1037,n67,neural
e68,n1037,n68,associative
e69,n1037,n69,individual
e70,n1037,n70,rich
e71,n1037,n71,long
e72,n1037,n72,more
e73,n1037,n73,direct
e74,n1037,n74,
e75,n1037,n75,personal
e76,n1037,n76,
e77,n1037,n77,difficult
e78,n1037,n78,interpretable
e79,n1037,n79,statistical
e80,n1037,n80,
e81,n1037,n81,human
e82,n1037,n82,efficient
e83,n1037,n83,obscure
e84,n1037,n84,new
e85,n1037,n85,
e86,n1037,n86,specific
e87,n1037,n87,key
e88,n1037,n88,specific
e89,n1037,n89,
e90,n1037,n90,physical
e91,n1037,n91,
e92,n1037,n92,external
e93,n1037,n93,
e94,n1037,n94,specific
e95,n1037,n95,specific
e96,n1037,n96,
e97,n1037,n97,interesting
e98,n1037,n98,
e99,n1037,n99,Chomsky
e100,n1037,n100,
e101,n1037,n101,wishful
e102,n1037,n102,
e103,n1037,n103,most
e104,n1037,n104,more
e105,n1037,n105,
e106,n1037,n106,
e107,n1037,n107,likely
e108,n1037,n108,
e109,n1037,n109,logical
e110,n1037,n110,general
e111,n1037,n111,syntactic
e112,n1037,n112,
e113,n1037,n113,
e114,n1037,n114,
e115,n1037,n115,
e116,n1037,n116,statistical
e117,n1037,n117,
e118,n1037,n118,dimensional
e119,n1037,n119,physical
e120,n1037,n120,
e121,n1037,n121,
e122,n1037,n122,
e123,n1037,n123,new
e124,n1037,n124,fundamental
e125,n1037,n125,
e126,n1037,n126,
e127,n1037,n127,biological
e128,n1037,n128,visual
e129,n1037,n129,
e130,n1037,n130,
e131,n1037,n131,spatial
e132,n1037,n132,
e133,n1037,n133,visual
e134,n1037,n134,mathematical
e135,n1037,n135,
e136,n1037,n136,
e137,n1037,n137,
e138,n1037,n138,
e139,n1037,n139,
e140,n1037,n140,
e141,n1037,n141,
e142,n1037,n142,
e143,n1037,n143,
e144,n1037,n144,
e145,n1037,n145,
e146,n1037,n146,
e147,n1037,n147,
e148,n1037,n148,shortest
e149,n1037,n149,
e150,n1037,n150,
e151,n1037,n151,
e152,n1037,n152,
e153,n1037,n153,
e154,n1037,n154,bad
e155,n1037,n155,
e156,n1037,n156,
e157,n1037,n157,first
e158,n1037,n158,
e159,n1037,n159,
e160,n1037,n160,mine
e161,n1037,n161,brilliant
e162,n1037,n162,
e163,n1037,n163,
e164,n1037,n164,first
e165,n1037,n165,
e166,n1037,n166,
e167,n1037,n167,new
e168,n1037,n168,
e169,n1037,n169,
e170,n1037,n170,giant
e171,n1037,n171,more
e172,n1037,n172,
e173,n1037,n173,clearest
e174,n1037,n174,particular
e175,n1037,n175,associative
e176,n1037,n176,key
e177,n1037,n177,
e178,n1037,n178,
e179,n1037,n179,topological
e180,n1037,n180,key
e181,n1037,n181,
e182,n1037,n182,
e183,n1037,n183,
e184,n1037,n184,
e185,n1037,n185,
e186,n1037,n186,right
e187,n1037,n187,
e188,n1037,n188,syntactic
e189,n1037,n189,lower
e190,n1037,n190,free
e191,n1037,n191,
e192,n1037,n192,
e193,n1037,n193,
e194,n1037,n194,
e195,n1037,n195,
e196,n1037,n196,
e197,n1037,n197,
e198,n1037,n198,
e199,n1037,n199,
e200,n1037,n200,
e201,n1037,n201,
e202,n1037,n202,
e203,n1037,n203,
e204,n1037,n204,visual
e205,n1037,n205,
e206,n1037,n206,
e207,n1037,n207,
e208,n1037,n208,
e209,n1037,n209,beautiful
e210,n1037,n210,
e211,n1037,n211,
e212,n1037,n212,
e213,n1037,n213,
e214,n1037,n214,
e215,n1037,n215,same
e216,n1037,n216,
e217,n1037,n217,human
e218,n1037,n218,
e219,n1037,n219,
e220,n1037,n220,
e221,n1037,n221,semantic
e222,n1037,n222,
e223,n1037,n223,better
e224,n1037,n224,main
e225,n1037,n225,
e226,n1037,n226,basic
e227,n1037,n227,
e228,n1037,n228,infinite
e229,n1037,n229,
e230,n1037,n230,geometric
e231,n1037,n231,
e232,n1037,n232,
e233,n1037,n233,
e234,n1037,n234,
e235,n1037,n235,fundamental
e236,n1037,n236,
e237,n1037,n237,different
e238,n1037,n238,static
e239,n1037,n239,
e240,n1037,n240,
e241,n1037,n241,
e242,n1037,n242,
e243,n1037,n243,
e244,n1037,n244,zero
e245,n1037,n245,
e246,n1037,n246,few
e247,n1037,n247,mere
e248,n1037,n248,certain
e249,n1037,n249,spiffy
e250,n1037,n250,meta
e251,n1037,n251,
e252,n1037,n252,
e253,n1037,n253,
e254,n1037,n254,biological
e255,n1037,n255,
e256,n1037,n256,certain
e257,n1037,n257,historical
e258,n1037,n258,
e259,n1037,n259,social
e260,n1037,n260,
e261,n1037,n261,
e262,n1037,n262,human
e263,n1037,n263,
e264,n1037,n264,giant
e265,n1037,n265,
e266,n1037,n266,limited
e267,n1037,n267,
e268,n1037,n268,more
e269,n1037,n269,
e270,n1037,n270,
e271,n1037,n271,
e272,n1037,n272,new
e273,n1037,n273,new
e274,n1037,n274,
e275,n1037,n275,
e276,n1037,n276,
e277,n1037,n277,
e278,n1037,n278,
e279,n1037,n279,
e280,n1037,n280,
e281,n1037,n281,
e282,n1037,n282,
e283,n1037,n283,
e284,n1037,n284,
e285,n1037,n285,cognitive
e286,n1037,n286,
e287,n1037,n287,
e288,n1037,n288,
e289,n1037,n289,
e290,n1037,n290,
e291,n1037,n291,big
e292,n1037,n292,similar
e293,n1037,n293,crystallized
e294,n1037,n294,new
e295,n1037,n295,human
e296,n1037,n296,strong
e297,n1037,n297,
e298,n1037,n298,human
e299,n1037,n299,good
e300,n1037,n300,
e301,n1037,n301,specific
e302,n1037,n302,
e303,n1037,n303,
e304,n1037,n304,
e305,n1037,n305,
e306,n1037,n306,
e307,n1037,n307,
e308,n1037,n308,
e309,n1037,n309,strong
e310,n1037,n310,
e311,n1037,n311,new
e312,n1037,n312,evolutionary
e313,n1037,n313,
e314,n1037,n314,static
e315,n1037,n315,evolutionary
e316,n1037,n316,
e317,n1037,n317,evolutionary
e318,n1037,n318,
e319,n1037,n319,
e320,n1037,n320,
e321,n1037,n321,remarkable
e322,n1037,n322,more
e323,n1037,n323,
e324,n1037,n324,
e325,n1037,n325,
e326,n1037,n326,small
e327,n1037,n327,
e328,n1037,n328,average
e329,n1037,n329,strong
e330,n1037,n330,last
e331,n1037,n331,
e332,n1037,n332,cognitive
e333,n1037,n333,limited
e334,n1037,n334,
e335,n1037,n335,same
e336,n1037,n336,
e337,n1037,n337,
e338,n1037,n338,ultimate
e339,n1037,n339,longstanding
e340,n1037,n340,diplomatic
e341,n1037,n341,binary
e342,n1037,n342,
e343,n1037,n343,
e344,n1037,n344,divergent
e345,n1037,n345,
e346,n1037,n346,
e347,n1037,n347,difficult
e348,n1037,n348,giant
e349,n1037,n349,
e350,n1037,n350,
e351,n1037,n351,other
e352,n1037,n352,special
e353,n1037,n353,neural
e354,n1037,n354,human
e355,n1037,n355,
e356,n1037,n356,
e357,n1037,n357,static
e358,n1037,n358,
e359,n1037,n359,
e360,n1037,n360,
e361,n1037,n361,
e362,n1037,n362,
e363,n1037,n363,
e364,n1037,n364,
e365,n1037,n365,
e366,n1037,n366,
e367,n1037,n367,legal
e368,n1037,n368,blank
e369,n1037,n369,
e370,n1037,n370,
e371,n1037,n371,
e372,n1037,n372,exciting
e373,n1037,n373,
e374,n1037,n374,
e375,n1037,n375,
e376,n1037,n376,
e377,n1037,n377,
e378,n1037,n378,
e379,n1037,n379,
e380,n1037,n380,dominant
e381,n1037,n381,
e382,n1037,n382,neural
e383,n1037,n383,
e384,n1037,n384,small
e385,n1037,n385,interesting
e386,n1037,n386,incredible
e387,n1037,n387,
e388,n1037,n388,individual
e389,n1037,n389,
e390,n1037,n390,available
e391,n1037,n391,
e392,n1037,n392,
e393,n1037,n393,
e394,n1037,n394,
e395,n1037,n395,
e396,n1037,n396,
e397,n1037,n397,
e398,n1037,n398,
e399,n1037,n399,
e400,n1037,n400,strange
e401,n1037,n401,
e402,n1037,n402,
e403,n1037,n403,
e404,n1037,n404,
e405,n1037,n405,
e406,n1037,n406,
e407,n1037,n407,
e408,n1037,n408,cool
e409,n1037,n409,better
e410,n1037,n410,fine
e411,n1037,n411,few
e412,n1037,n412,
e413,n1037,n413,
e414,n1037,n414,certain
e415,n1037,n415,
e416,n1037,n416,
e417,n1037,n417,large
e418,n1037,n418,
e419,n1037,n419,significant
e420,n1037,n420,big
e421,n1037,n421,
e422,n1037,n422,
e423,n1037,n423,
e424,n1037,n424,
e425,n1037,n425,
e426,n1037,n426,plausible
e427,n1037,n427,
e428,n1037,n428,
e429,n1037,n429,
e430,n1037,n430,
e431,n1037,n431,
e432,n1037,n432,
e433,n1037,n433,same
e434,n1037,n434,
e435,n1037,n435,different
e436,n1037,n436,adversarial
e437,n1037,n437,good
e438,n1037,n438,
e439,n1037,n439,
e440,n1037,n440,
e441,n1037,n441,
e442,n1037,n442,real
e443,n1037,n443,programme
e444,n1037,n444,
e445,n1037,n445,good
e446,n1037,n446,
e447,n1037,n447,
e448,n1037,n448,
e449,n1037,n449,many
e450,n1037,n450,few
e451,n1037,n451,
e452,n1037,n452,different
e453,n1037,n453,
e454,n1037,n454,
e455,n1037,n455,specific
e456,n1037,n456,
e457,n1037,n457,
e458,n1037,n458,
e459,n1037,n459,
e460,n1037,n460,exact
e461,n1037,n461,
e462,n1037,n462,
e463,n1037,n463,
e464,n1037,n464,fundamental
e465,n1037,n465,
e466,n1037,n466,generative
e467,n1037,n467,
