id,source,target,value
e0,n599,n0,
e1,n599,n1,
e2,n599,n2,fundamental
e3,n599,n3,neural
e4,n599,n4,philosophical
e5,n599,n5,
e6,n599,n6,
e7,n599,n7,different
e8,n599,n8,
e9,n599,n9,collective
e10,n599,n10,evolutionary
e11,n599,n11,little
e12,n599,n12,biological
e13,n599,n13,
e14,n599,n14,
e15,n599,n15,
e16,n599,n16,useful
e17,n599,n17,
e18,n599,n18,developmental
e19,n599,n19,
e20,n599,n20,
e21,n599,n21,individual
e22,n599,n22,beautiful
e23,n599,n23,
e24,n599,n24,
e25,n599,n25,neural
e26,n599,n26,
e27,n599,n27,
e28,n599,n28,Other
e29,n599,n29,
e30,n599,n30,
e31,n599,n31,
e32,n599,n32,brief
e33,n599,n33,physical
e34,n599,n34,
e35,n599,n35,
e36,n599,n36,
e37,n599,n37,
e38,n599,n38,
e39,n599,n39,
e40,n599,n40,
e41,n599,n41,
e42,n599,n42,same
e43,n599,n43,
e44,n599,n44,
e45,n599,n45,
e46,n599,n46,
e47,n599,n47,
e48,n599,n48,
e49,n599,n49,right
e50,n599,n50,
e51,n599,n51,little
e52,n599,n52,few
e53,n599,n53,
e54,n599,n54,
e55,n599,n55,other
e56,n599,n56,physical
e57,n599,n57,
e58,n599,n58,same
e59,n599,n59,biological
e60,n599,n60,
e61,n599,n61,evolutionary
e62,n599,n62,biological
e63,n599,n63,weird
e64,n599,n64,certain
e65,n599,n65,
e66,n599,n66,
e67,n599,n67,
e68,n599,n68,particular
e69,n599,n69,old
e70,n599,n70,old
e71,n599,n71,
e72,n599,n72,evolutionary
e73,n599,n73,
e74,n599,n74,
e75,n599,n75,
e76,n599,n76,
e77,n599,n77,
e78,n599,n78,
e79,n599,n79,
e80,n599,n80,
e81,n599,n81,
e82,n599,n82,
e83,n599,n83,single
e84,n599,n84,dual
e85,n599,n85,
e86,n599,n86,new
e87,n599,n87,
e88,n599,n88,first
e89,n599,n89,interesting
e90,n599,n90,internal
e91,n599,n91,
e92,n599,n92,
e93,n599,n93,different
e94,n599,n94,
e95,n599,n95,other
e96,n599,n96,adaptive
e97,n599,n97,other
e98,n599,n98,
e99,n599,n99,
e100,n599,n100,human
e101,n599,n101,
e102,n599,n102,
e103,n599,n103,evolutionary
e104,n599,n104,right
e105,n599,n105,more
e106,n599,n106,
e107,n599,n107,
e108,n599,n108,
e109,n599,n109,mathematical
e110,n599,n110,
e111,n599,n111,deepest
e112,n599,n112,
e113,n599,n113,
e114,n599,n114,
e115,n599,n115,
e116,n599,n116,dimensional
e117,n599,n117,
e118,n599,n118,
e119,n599,n119,dimensional
e120,n599,n120,
e121,n599,n121,grey
e122,n599,n122,several
e123,n599,n123,
e124,n599,n124,
e125,n599,n125,
e126,n599,n126,complicated
e127,n599,n127,
e128,n599,n128,other
e129,n599,n129,open
e130,n599,n130,
e131,n599,n131,human
e132,n599,n132,human
e133,n599,n133,
e134,n599,n134,black
e135,n599,n135,
e136,n599,n136,
e137,n599,n137,
e138,n599,n138,
e139,n599,n139,just
e140,n599,n140,
e141,n599,n141,
e142,n599,n142,still
e143,n599,n143,
e144,n599,n144,
e145,n599,n145,
e146,n599,n146,entire
e147,n599,n147,biggest
e148,n599,n148,
e149,n599,n149,
e150,n599,n150,
e151,n599,n151,
e152,n599,n152,real
e153,n599,n153,
e154,n599,n154,crude
e155,n599,n155,intellectual
e156,n599,n156,
e157,n599,n157,
e158,n599,n158,
e159,n599,n159,
e160,n599,n160,understandable
e161,n599,n161,enough
e162,n599,n162,
e163,n599,n163,many
e164,n599,n164,
e165,n599,n165,original
e166,n599,n166,
e167,n599,n167,
e168,n599,n168,
e169,n599,n169,other
e170,n599,n170,
e171,n599,n171,classical
e172,n599,n172,
e173,n599,n173,nebulous
e174,n599,n174,alternative
e175,n599,n175,
e176,n599,n176,
e177,n599,n177,intuitive
e178,n599,n178,neural
e179,n599,n179,
e180,n599,n180,enormous
e181,n599,n181,
e182,n599,n182,
e183,n599,n183,Good
e184,n599,n184,various
e185,n599,n185,
e186,n599,n186,
e187,n599,n187,exponential
e188,n599,n188,
e189,n599,n189,deep
e190,n599,n190,recurrent
e191,n599,n191,
e192,n599,n192,simple
e193,n599,n193,
e194,n599,n194,
e195,n599,n195,other
e196,n599,n196,
e197,n599,n197,electrical
e198,n599,n198,great
e199,n599,n199,
e200,n599,n200,classical
e201,n599,n201,
e202,n599,n202,seminal
e203,n599,n203,
e204,n599,n204,
e205,n599,n205,
e206,n599,n206,
e207,n599,n207,
e208,n599,n208,
e209,n599,n209,
e210,n599,n210,simple
e211,n599,n211,
e212,n599,n212,
e213,n599,n213,broad
e214,n599,n214,impactful
e215,n599,n215,
e216,n599,n216,better
e217,n599,n217,
e218,n599,n218,first
e219,n599,n219,real
e220,n599,n220,
e221,n599,n221,
e222,n599,n222,
e223,n599,n223,
e224,n599,n224,
e225,n599,n225,free
e226,n599,n226,many
e227,n599,n227,
e228,n599,n228,huge
e229,n599,n229,
e230,n599,n230,many
e231,n599,n231,
e232,n599,n232,
e233,n599,n233,
e234,n599,n234,biggest
e235,n599,n235,
e236,n599,n236,
e237,n599,n237,recent
e238,n599,n238,associative
e239,n599,n239,
e240,n599,n240,
e241,n599,n241,
e242,n599,n242,
e243,n599,n243,
e244,n599,n244,
e245,n599,n245,Cognitive
e246,n599,n246,
e247,n599,n247,few
e248,n599,n248,particular
e249,n599,n249,
e250,n599,n250,
e251,n599,n251,
e252,n599,n252,
e253,n599,n253,intelligent
e254,n599,n254,
e255,n599,n255,
e256,n599,n256,
e257,n599,n257,
e258,n599,n258,
e259,n599,n259,
e260,n599,n260,stable
e261,n599,n261,physical
e262,n599,n262,associative
e263,n599,n263,certain
e264,n599,n264,
e265,n599,n265,
e266,n599,n266,
e267,n599,n267,useful
e268,n599,n268,collective
e269,n599,n269,real
e270,n599,n270,enough
e271,n599,n271,
e272,n599,n272,
e273,n599,n273,
e274,n599,n274,
e275,n599,n275,
e276,n599,n276,back
e277,n599,n277,
e278,n599,n278,
e279,n599,n279,fast
e280,n599,n280,
e281,n599,n281,
e282,n599,n282,
e283,n599,n283,synaptic
e284,n599,n284,
e285,n599,n285,
e286,n599,n286,synapse
e287,n599,n287,
e288,n599,n288,
e289,n599,n289,
e290,n599,n290,
e291,n599,n291,
e292,n599,n292,
e293,n599,n293,
e294,n599,n294,
e295,n599,n295,
e296,n599,n296,
e297,n599,n297,
e298,n599,n298,
e299,n599,n299,molecular
e300,n599,n300,
e301,n599,n301,
e302,n599,n302,particular
e303,n599,n303,interesting
e304,n599,n304,
e305,n599,n305,
e306,n599,n306,reasonable
e307,n599,n307,powerful
e308,n599,n308,
e309,n599,n309,Messy
e310,n599,n310,
e311,n599,n311,
e312,n599,n312,computational
e313,n599,n313,dimensional
e314,n599,n314,
e315,n599,n315,
e316,n599,n316,
e317,n599,n317,
e318,n599,n318,
e319,n599,n319,
e320,n599,n320,
e321,n599,n321,
e322,n599,n322,
e323,n599,n323,
e324,n599,n324,accurate
e325,n599,n325,
e326,n599,n326,
e327,n599,n327,
e328,n599,n328,
e329,n599,n329,
e330,n599,n330,
e331,n599,n331,deep
e332,n599,n332,
e333,n599,n333,
e334,n599,n334,
e335,n599,n335,mental
e336,n599,n336,
e337,n599,n337,
e338,n599,n338,natural
e339,n599,n339,
e340,n599,n340,
e341,n599,n341,
e342,n599,n342,
e343,n599,n343,
e344,n599,n344,interesting
e345,n599,n345,lovely
e346,n599,n346,
e347,n599,n347,
e348,n599,n348,
e349,n599,n349,whole
e350,n599,n350,aforementioned
e351,n599,n351,
e352,n599,n352,back
e353,n599,n353,
e354,n599,n354,
e355,n599,n355,
e356,n599,n356,more
e357,n599,n357,
e358,n599,n358,
e359,n599,n359,
e360,n599,n360,
e361,n599,n361,multiple
e362,n599,n362,
e363,n599,n363,
e364,n599,n364,
e365,n599,n365,
e366,n599,n366,alone
e367,n599,n367,
e368,n599,n368,
e369,n599,n369,
e370,n599,n370,
e371,n599,n371,
e372,n599,n372,
e373,n599,n373,hard
e374,n599,n374,much
e375,n599,n375,committed
e376,n599,n376,little
e377,n599,n377,real
e378,n599,n378,
e379,n599,n379,
e380,n599,n380,
e381,n599,n381,
e382,n599,n382,neural
e383,n599,n383,many
e384,n599,n384,
e385,n599,n385,
e386,n599,n386,
