id,source,target,value
e0,n880,n0,last
e1,n880,n1,
e2,n880,n2,
e3,n880,n3,many
e4,n880,n4,first
e5,n880,n5,
e6,n880,n6,
e7,n880,n7,
e8,n880,n8,
e9,n880,n9,
e10,n880,n10,
e11,n880,n11,
e12,n880,n12,beautiful
e13,n880,n13,dark
e14,n880,n14,glowing
e15,n880,n15,good
e16,n880,n16,early
e17,n880,n17,largest
e18,n880,n18,same
e19,n880,n19,
e20,n880,n20,
e21,n880,n21,
e22,n880,n22,crazy
e23,n880,n23,nearest
e24,n880,n24,
e25,n880,n25,closest
e26,n880,n26,
e27,n880,n27,empty
e28,n880,n28,
e29,n880,n29,
e30,n880,n30,massive
e31,n880,n31,
e32,n880,n32,
e33,n880,n33,
e34,n880,n34,solar
e35,n880,n35,high
e36,n880,n36,French
e37,n880,n37,
e38,n880,n38,
e39,n880,n39,
e40,n880,n40,
e41,n880,n41,
e42,n880,n42,
e43,n880,n43,
e44,n880,n44,
e45,n880,n45,
e46,n880,n46,certain
e47,n880,n47,
e48,n880,n48,
e49,n880,n49,fierce
e50,n880,n50,habitable
e51,n880,n51,
e52,n880,n52,
e53,n880,n53,
e54,n880,n54,
e55,n880,n55,
e56,n880,n56,
e57,n880,n57,
e58,n880,n58,dark
e59,n880,n59,first
e60,n880,n60,human
e61,n880,n61,new
e62,n880,n62,few
e63,n880,n63,
e64,n880,n64,
e65,n880,n65,intelligent
e66,n880,n66,rich
e67,n880,n67,
e68,n880,n68,dumb
e69,n880,n69,immediate
e70,n880,n70,
e71,n880,n71,observable
e72,n880,n72,
e73,n880,n73,alien
e74,n880,n74,
e75,n880,n75,
e76,n880,n76,typical
e77,n880,n77,outside
e78,n880,n78,
e79,n880,n79,full
e80,n880,n80,
e81,n880,n81,
e82,n880,n82,silly
e83,n880,n83,
e84,n880,n84,
e85,n880,n85,careful
e86,n880,n86,other
e87,n880,n87,real
e88,n880,n88,awesome
e89,n880,n89,
e90,n880,n90,intelligent
e91,n880,n91,
e92,n880,n92,magic
e93,n880,n93,hard
e94,n880,n94,great
e95,n880,n95,top
e96,n880,n96,
e97,n880,n97,light
e98,n880,n98,
e99,n880,n99,
e100,n880,n100,
e101,n880,n101,
e102,n880,n102,many
e103,n880,n103,
e104,n880,n104,good
e105,n880,n105,small
e106,n880,n106,sophisticated
e107,n880,n107,
e108,n880,n108,other
e109,n880,n109,liquid
e110,n880,n110,interesting
e111,n880,n111,
e112,n880,n112,gritty
e113,n880,n113,detectable
e114,n880,n114,big
e115,n880,n115,
e116,n880,n116,strong
e117,n880,n117,
e118,n880,n118,
e119,n880,n119,future
e120,n880,n120,
e121,n880,n121,distant
e122,n880,n122,
e123,n880,n123,
e124,n880,n124,big
e125,n880,n125,
e126,n880,n126,good
e127,n880,n127,
e128,n880,n128,distant
e129,n880,n129,
e130,n880,n130,
e131,n880,n131,concrete
e132,n880,n132,
e133,n880,n133,
e134,n880,n134,
e135,n880,n135,short
e136,n880,n136,many
e137,n880,n137,nearest
e138,n880,n138,
e139,n880,n139,
e140,n880,n140,powerful
e141,n880,n141,
e142,n880,n142,
e143,n880,n143,
e144,n880,n144,closest
e145,n880,n145,
e146,n880,n146,
e147,n880,n147,
e148,n880,n148,more
e149,n880,n149,new
e150,n880,n150,
e151,n880,n151,
e152,n880,n152,
e153,n880,n153,
e154,n880,n154,
e155,n880,n155,
e156,n880,n156,huge
e157,n880,n157,same
e158,n880,n158,
e159,n880,n159,
e160,n880,n160,high
e161,n880,n161,high
e162,n880,n162,initial
e163,n880,n163,
e164,n880,n164,first
e165,n880,n165,
e166,n880,n166,
e167,n880,n167,crazy
e168,n880,n168,
e169,n880,n169,
e170,n880,n170,
e171,n880,n171,
e172,n880,n172,
e173,n880,n173,intelligent
e174,n880,n174,
e175,n880,n175,
e176,n880,n176,
e177,n880,n177,mainstream
e178,n880,n178,
e179,n880,n179,
e180,n880,n180,
e181,n880,n181,
e182,n880,n182,
e183,n880,n183,real
e184,n880,n184,
e185,n880,n185,specific
e186,n880,n186,right
e187,n880,n187,
e188,n880,n188,
e189,n880,n189,same
e190,n880,n190,
e191,n880,n191,
e192,n880,n192,critical
e193,n880,n193,cute
e194,n880,n194,
e195,n880,n195,
e196,n880,n196,entire
e197,n880,n197,separate
e198,n880,n198,
e199,n880,n199,
e200,n880,n200,
e201,n880,n201,mass
e202,n880,n202,
e203,n880,n203,
e204,n880,n204,
e205,n880,n205,
e206,n880,n206,quiet
e207,n880,n207,
e208,n880,n208,
e209,n880,n209,
e210,n880,n210,
e211,n880,n211,black
e212,n880,n212,
e213,n880,n213,black
e214,n880,n214,
e215,n880,n215,
e216,n880,n216,
e217,n880,n217,own
e218,n880,n218,
e219,n880,n219,
e220,n880,n220,geometric
e221,n880,n221,scientific
e222,n880,n222,
e223,n880,n223,certain
e224,n880,n224,
e225,n880,n225,
e226,n880,n226,other
e227,n880,n227,
e228,n880,n228,
e229,n880,n229,
e230,n880,n230,new
e231,n880,n231,useful
e232,n880,n232,
e233,n880,n233,
e234,n880,n234,
e235,n880,n235,enough
e236,n880,n236,
e237,n880,n237,crazy
e238,n880,n238,strong
e239,n880,n239,
e240,n880,n240,
e241,n880,n241,worst
e242,n880,n242,
e243,n880,n243,
